date,cases
2020-03-25,1194
2020-03-30,1632
2020-04-01,5
2020-04-02,773
2020-04-05,1859
2020-04-06,1948
2020-04-07,2029
2020-04-08,2077
2020-04-09,2153
2020-04-10,58
2020-04-12,203
2020-04-13,279
2020-04-14,341
2020-04-15,420
2020-04-16,480
2020-04-17,570
2020-04-20,854
2020-04-21,909
2020-04-22,958
2020-04-23,1030
2020-04-24,1105
2020-04-26,1252
2020-04-27,1333
2020-04-28,1433
2020-04-30,1633
2020-05-02,782
2020-05-03,1566
2020-05-04,1767
2020-05-05,1861
2020-05-07,2030
2020-05-08,2081
2020-05-09,2158
2020-05-10,59
2020-05-11,136
2020-05-13,280
2020-05-14,343
2020-05-15,421
2020-05-16,483
2020-05-17,582
2020-05-18,645
2020-05-20,858
2020-05-22,967
2020-05-23,1034
2020-05-24,1112
2020-05-25,1202
2020-05-26,1258
2020-05-27,1343
2020-05-28,1435
2020-05-29,1494
2020-05-30,1641
2020-05-31,1704
2020-06-01,7
2020-06-02,784
2020-06-03,1580
2020-06-04,1771
2020-06-05,1864
2020-06-06,1953
2020-06-07,2031
2020-06-08,2082
2020-06-09,2165
2020-06-10,67
2020-06-11,139
2020-06-12,210
2020-06-13,283
2020-06-14,351
2020-06-16,489
2020-06-17,590
2020-06-18,646
2020-06-19,711
2020-06-20,864
2020-06-21,911
2020-06-22,975
2020-06-23,1039
2020-06-24,1125
2020-06-25,1210
2020-06-26,1267
2020-06-27,1353
2020-06-28,1442
2020-06-29,1516
2020-06-30,1649
2020-07-01,14
2020-07-02,799
2020-07-03,1592
2020-07-04,1788
2020-07-05,1877
2020-07-06,1972
2020-07-07,2045
2020-07-08,2110
2020-07-09,2178
2020-07-10,87
2020-07-11,167
2020-07-12,235
2020-07-13,304
2020-07-14,374
2020-07-15,447
2020-07-16,534
2020-07-17,609
2020-07-18,663
2020-07-19,731
2020-07-20,889
2020-07-21,925
2020-07-22,998
2020-07-23,1080
2020-07-24,1158
2020-07-25,1222
2020-07-26,1296
2020-07-27,1384
2020-07-28,1472
2020-07-29,1550
2020-07-30,1677
2020-07-31,1748
2020-08-01,40
2020-08-02,829
2020-08-03,1620
2020-08-04,1819
2020-08-05,1928
2020-08-06,2006
2020-08-07,2064
2020-08-08,2132
2020-08-09,2195
2020-08-10,112
2020-08-11,185
2020-08-12,257
2020-08-13,328
2020-08-14,401
2020-08-15,460
2020-08-16,556
2020-08-17,634
2020-08-18,693
2020-08-19,762
2020-08-20,899
2020-08-21,948
2020-08-22,1017
2020-08-23,1090
2020-08-24,1180
2020-08-25,1240
2020-08-26,1321
2020-08-27,1394
2020-08-28,1480
2020-08-29,1554
2020-08-30,1684
2020-08-31,1761
2020-09-01,54
2020-09-02,837
2020-09-03,1630
2020-09-04,1848
2020-09-05,1938
2020-09-06,2018
2020-09-07,2073
2020-09-08,2140
2020-09-09,2210
2020-09-10,133
2020-09-11,198
2020-09-12,275
2020-09-13,337
2020-09-14,410
2020-09-15,469
2020-09-16,561
2020-09-17,642
2020-09-18,700
2020-09-19,765
2020-09-20,903
2020-09-21,955
2020-09-22,1026
2020-09-23,1097
2020-09-24,1189
2020-09-25,1245
2020-09-26,1326
2020-09-27,1408
2020-09-28,1489
2020-09-29,1559
2020-09-30,1694
2020-10-01,4
2020-10-02,772
2020-10-03,1563
2020-10-04,1766
2020-10-05,1858
2020-10-06,1945
2020-10-07,2028
2020-10-08,2076
2020-10-09,2150
2020-10-10,57
2020-10-11,134
2020-10-12,201
2020-10-13,278
2020-10-14,340
2020-10-15,415
2020-10-16,473
2020-10-17,567
2020-10-19,704
2020-10-20,842
2020-10-21,908
2020-10-23,1029
2020-10-24,1099
2020-10-26,1248
2020-10-27,1332
2020-10-28,1412
2020-10-29,1493
