date,cases
2020-03-10,1
2020-03-19,2
2020-03-28,3
2020-03-31,4
2020-04-03,9
2020-04-04,10
2020-04-05,11
2020-04-06,12
2020-04-13,14
2020-04-19,16
2020-05-04,17
2020-05-09,18
2020-05-11,19
2020-05-15,20
2020-05-18,21
2020-05-20,22
2020-05-22,24
2020-05-30,25
2020-06-02,28
2020-06-03,33
2020-06-04,34
2020-06-05,40
2020-06-06,44
2020-06-07,47
2020-06-08,52
2020-06-09,57
2020-06-10,72
2020-06-11,79
2020-06-12,83
2020-06-13,87
2020-06-14,88
2020-06-15,96
2020-06-16,106
2020-06-17,124
2020-06-18,146
2020-06-19,156
2020-06-20,194
2020-06-21,198
2020-06-22,204
2020-06-23,232
2020-06-24,269
2020-06-25,292
2020-06-26,316
2020-06-27,334
2020-06-28,350
2020-06-29,361
2020-06-30,388
2020-07-01,409
2020-07-02,446
2020-07-03,515
2020-07-04,580
2020-07-05,647
2020-07-06,747
2020-07-07,815
2020-07-08,1002
2020-07-09,1065
2020-07-10,1146
2020-07-11,1191
2020-07-12,1218
2020-07-13,1335
2020-07-14,1416
2020-07-15,1514
2020-07-16,1616
2020-07-17,1734
2020-07-18,1833
2020-07-19,1862
2020-07-20,1946
2020-07-21,2038
2020-07-22,2105
2020-07-23,2214
2020-07-24,2280
2020-07-25,2357
2020-07-26,2422
2020-07-27,2498
2020-07-28,2590
2020-07-29,2646
2020-07-30,2732
2020-07-31,2816
2020-08-01,2870
2020-08-02,2901
2020-08-03,2948
2020-08-04,3003
2020-08-05,3060
2020-08-06,3117
2020-08-07,3155
2020-08-08,3231
2020-08-09,3274
2020-08-10,3327
2020-08-11,3372
2020-08-12,3432
2020-08-13,3487
2020-08-14,3533
2020-08-15,3583
2020-08-16,3641
2020-08-17,3713
2020-08-18,3794
2020-08-19,3899
2020-08-20,3983
2020-08-21,4073
2020-08-22,4182
2020-08-23,4245
2020-08-24,4339
2020-08-25,4438
2020-08-26,4511
2020-08-27,4584
2020-08-28,4661
2020-08-29,4734
2020-08-30,4791
2020-08-31,4875
2020-09-01,4971
2020-09-02,5041
2020-09-03,5085
2020-09-04,5118
2020-09-05,5159
2020-09-06,5236
2020-09-07,5315
2020-09-08,5367
2020-09-09,5435
2020-09-10,5496
2020-09-11,5583
2020-09-12,5653
2020-09-13,5717
2020-09-14,5818
2020-09-15,5882
2020-09-16,5909
2020-09-17,5954
2020-09-18,6018
2020-09-19,6111
2020-09-20,6133
2020-09-21,6191
2020-09-22,6245
2020-09-23,6290
2020-09-24,6359
2020-09-25,6424
2020-09-26,6526
2020-09-27,6647
2020-09-28,6808
2020-09-29,6885
2020-09-30,6981
2020-10-01,7100
2020-10-02,7212
2020-10-03,7316
2020-10-04,7399
2020-10-05,7551
2020-10-06,7648
2020-10-07,7775
2020-10-08,7879
2020-10-09,8008
2020-10-10,8101
2020-10-11,8205
2020-10-12,8277
2020-10-13,8361
2020-10-14,8486
2020-10-15,8552
2020-10-16,8700
2020-10-17,8827
2020-10-18,8918
2020-10-19,9121
2020-10-20,9247
2020-10-21,9349
2020-10-22,9468
2020-10-23,9649
2020-10-24,9748
2020-10-25,9856
2020-10-26,9973
2020-10-27,10071
2020-10-28,10156
2020-10-29,10249
2020-10-30,10338
2020-10-31,10425
2020-11-01,10491
2020-11-02,10525
2020-11-03,10575
2020-11-04,10649
2020-11-05,10712
2020-11-06,10772
2020-11-07,10814
2020-11-08,10855
2020-11-09,10930
2020-11-10,10996
2020-11-11,11055
2020-11-12,11132
2020-11-13,11190
2020-11-14,11223
2020-11-15,11244
2020-11-16,11281
2020-11-17,11354
2020-11-18,11412
2020-11-19,11453
2020-11-20,11481
2020-11-21,11499
2020-11-22,11518
2020-11-23,11521
