date,cases
2020-03-27,1
2020-03-31,2
2020-04-02,3
2020-04-03,4
2020-04-05,5
2020-04-11,6
2020-04-15,7
2020-04-17,8
2020-04-18,9
2020-04-22,10
2020-04-24,13
2020-04-25,15
2020-04-28,18
2020-04-29,19
2020-04-30,23
2020-05-02,26
2020-05-04,27
2020-05-06,28
2020-05-08,31
2020-05-11,34
2020-05-12,35
2020-05-14,36
2020-05-16,37
2020-05-17,38
2020-05-18,39
2020-05-19,40
2020-05-21,41
2020-05-22,44
2020-05-23,46
2020-05-25,47
2020-05-26,54
2020-05-28,57
2020-05-29,59
2020-06-01,62
2020-06-02,65
2020-06-03,67
2020-06-04,69
2020-06-05,72
2020-06-07,74
2020-06-08,76
2020-06-09,78
2020-06-10,82
2020-06-11,85
2020-06-12,88
2020-06-13,93
2020-06-14,97
2020-06-16,98
2020-06-17,100
2020-06-18,107
2020-06-19,110
2020-06-20,113
2020-06-21,115
2020-06-22,124
2020-06-23,127
2020-06-24,129
2020-06-25,142
2020-06-26,149
2020-06-27,153
2020-06-28,154
2020-06-29,159
2020-06-30,169
2020-07-01,193
2020-07-02,196
2020-07-03,206
2020-07-04,216
2020-07-05,219
2020-07-06,233
2020-07-07,249
2020-07-08,262
2020-07-09,279
2020-07-10,295
2020-07-11,310
2020-07-12,315
2020-07-13,331
2020-07-14,348
2020-07-15,366
2020-07-16,382
2020-07-17,403
2020-07-18,427
2020-07-19,437
2020-07-20,439
2020-07-21,463
2020-07-22,488
2020-07-23,499
2020-07-24,519
2020-07-25,548
2020-07-26,557
2020-07-27,572
2020-07-28,592
2020-07-29,621
2020-07-30,649
2020-07-31,710
2020-08-01,744
2020-08-02,752
2020-08-03,771
2020-08-04,799
2020-08-05,811
2020-08-06,833
2020-08-07,847
2020-08-08,877
2020-08-09,894
2020-08-10,921
2020-08-11,942
2020-08-12,989
2020-08-13,1003
2020-08-14,1019
2020-08-15,1033
2020-08-16,1042
2020-08-17,1062
2020-08-18,1078
2020-08-19,1088
2020-08-20,1108
2020-08-21,1115
2020-08-22,1120
2020-08-23,1122
2020-08-24,1136
2020-08-25,1168
2020-08-26,1172
2020-08-27,1189
2020-08-28,1201
2020-08-29,1206
2020-08-30,1211
2020-08-31,1219
2020-09-01,1234
2020-09-02,1243
2020-09-03,1258
2020-09-04,1280
2020-09-05,1287
2020-09-06,1290
2020-09-07,1308
2020-09-08,1320
2020-09-09,1331
2020-09-10,1346
2020-09-11,1357
2020-09-12,1367
2020-09-13,1375
2020-09-14,1387
2020-09-15,1397
2020-09-16,1406
2020-09-17,1419
2020-09-18,1430
2020-09-19,1446
2020-09-20,1448
2020-09-21,1463
2020-09-22,1472
2020-09-23,1487
2020-09-24,1496
2020-09-25,1505
2020-09-26,1520
2020-09-27,1528
2020-09-28,1535
2020-09-29,1548
2020-09-30,1557
2020-10-01,1569
2020-10-02,1586
2020-10-03,1591
2020-10-04,1597
2020-10-05,1609
2020-10-06,1622
2020-10-07,1638
2020-10-08,1663
2020-10-09,1673
2020-10-10,1682
2020-10-11,1685
2020-10-12,1689
2020-10-13,1700
2020-10-14,1706
2020-10-15,1716
2020-10-16,1725
2020-10-17,1738
2020-10-18,1752
2020-10-19,1772
2020-10-20,1789
2020-10-21,1814
2020-10-22,1833
2020-10-23,1850
2020-10-24,1861
2020-10-25,1877
2020-10-26,1890
2020-10-27,1904
2020-10-28,1915
2020-10-29,1922
2020-10-30,1928
2020-10-31,1934
2020-11-01,1943
2020-11-02,1957
2020-11-03,1969
2020-11-04,1982
2020-11-05,1992
2020-11-06,2008
2020-11-07,2021
2020-11-08,2030
2020-11-09,2050
2020-11-10,2062
2020-11-11,2076
2020-11-12,2089
2020-11-13,2103
2020-11-14,2111
2020-11-15,2114
2020-11-16,2120
2020-11-17,2145
2020-11-18,2160
2020-11-19,2174
2020-11-20,2182
2020-11-21,2205
2020-11-22,2213
2020-11-23,2235
2020-11-24,2259
2020-11-25,2269
2020-11-26,2284
2020-11-27,2301
2020-11-28,2321
2020-11-29,2327
2020-11-30,2341
2020-12-01,2352
2020-12-02,2361
2020-12-03,2365
2020-12-04,2368
