date,cases
2020-05-07,1
2020-05-17,3
2020-05-21,4
2020-05-26,5
2020-05-27,6
2020-05-28,7
2020-06-01,8
2020-06-06,13
2020-06-08,14
2020-06-09,16
2020-06-12,17
2020-06-15,19
2020-06-16,23
2020-06-17,25
2020-06-18,26
2020-06-19,27
2020-06-22,28
2020-06-23,32
2020-06-24,33
2020-06-25,43
2020-06-26,45
2020-06-27,47
2020-06-29,48
2020-07-01,50
2020-07-02,52
2020-07-03,54
2020-07-04,57
2020-07-05,59
2020-07-06,66
2020-07-07,70
2020-07-08,71
2020-07-09,73
2020-07-10,75
2020-07-11,76
2020-07-12,80
2020-07-13,84
2020-07-15,86
2020-07-16,90
2020-07-17,92
2020-07-18,96
2020-07-20,101
2020-07-21,105
2020-07-22,110
2020-07-23,111
2020-07-24,117
2020-07-25,118
2020-07-26,124
2020-07-27,126
2020-07-28,129
2020-07-29,140
2020-07-30,146
2020-07-31,153
2020-08-01,156
2020-08-02,159
2020-08-03,167
2020-08-04,171
2020-08-05,188
2020-08-06,198
2020-08-07,200
2020-08-08,201
2020-08-09,202
2020-08-10,206
2020-08-11,210
2020-08-12,217
2020-08-13,219
2020-08-14,221
2020-08-15,222
2020-08-16,223
2020-08-17,224
2020-08-18,231
2020-08-19,232
2020-08-20,233
2020-08-21,235
2020-08-22,236
2020-08-23,237
2020-08-26,238
2020-09-04,239
2020-09-18,240
2020-09-30,241
2020-10-02,244
2020-10-08,245
2020-10-09,251
2020-10-18,252
2020-10-19,264
2020-10-20,271
2020-10-21,272
2020-10-22,279
2020-10-23,280
2020-10-24,284
2020-10-25,289
2020-10-26,293
2020-10-27,296
2020-10-28,298
2020-10-29,300
2020-10-30,301
2020-10-31,302
2020-11-01,305
2020-11-03,306
2020-11-05,309
2020-11-06,313
2020-11-09,319
2020-11-10,320
2020-11-12,321
2020-11-16,325
2020-11-18,326
2020-11-19,333
2020-11-20,334
2020-11-21,337
2020-11-22,340
2020-11-23,346
2020-11-24,347
2020-11-25,349
2020-11-26,350
2020-11-27,353
2020-11-28,355
2020-11-29,356
2020-11-30,361
2020-12-01,366
2020-12-02,371
2020-12-03,375
2020-12-04,379
2020-12-06,382
2020-12-07,385
2020-12-08,386
2020-12-09,391
2020-12-10,392
2020-12-11,395
2020-12-14,396
2020-12-15,397
2020-12-16,398
