date,cases
2020-03-21,131
2020-05-14,52
2020-05-19,101
2020-05-20,118
2020-05-22,157
2020-05-23,169
2020-05-25,207
2020-05-26,212
2020-05-28,229
2020-05-30,260
2020-06-02,109
2020-06-04,270
2020-06-07,289
2020-06-10,7
2020-06-16,78
2020-06-18,93
2020-06-23,172
2020-06-24,179
2020-06-25,208
2020-06-26,214
2020-06-29,238
2020-06-30,261
2020-07-02,110
2020-07-03,243
2020-07-05,277
2020-07-07,290
2020-07-08,299
2020-07-09,308
2020-07-10,8
2020-07-11,21
2020-07-12,29
2020-07-13,41
2020-07-15,65
2020-07-16,79
2020-07-17,88
2020-07-19,103
2020-07-20,122
2020-07-21,144
2020-07-22,161
2020-07-23,175
2020-07-24,183
2020-07-26,215
2020-07-27,216
2020-07-28,231
2020-07-29,239
2020-07-31,263
2020-08-01,2
2020-08-02,114
2020-08-03,256
2020-08-04,273
2020-08-05,280
2020-08-06,286
2020-08-07,292
2020-08-09,313
2020-08-10,15
2020-08-11,23
2020-08-12,37
2020-08-13,44
2020-08-14,59
2020-08-16,81
2020-08-17,89
2020-08-18,96
2020-08-19,104
2020-08-20,123
2020-08-21,147
2020-08-22,165
2020-08-23,176
2020-08-24,189
2020-08-25,209
2020-08-27,217
2020-08-28,234
2020-08-29,241
2020-08-31,266
2020-09-01,4
2020-09-03,259
2020-09-04,274
2020-09-05,283
2020-09-06,287
2020-09-07,295
2020-09-08,304
2020-09-09,314
2020-09-10,17
2020-09-11,26
2020-09-12,40
2020-09-13,47
2020-09-14,60
2020-09-15,68
2020-09-16,83
2020-09-17,92
2020-09-19,106
2020-09-20,124
2020-09-21,149
2020-09-22,167
2020-09-23,178
2020-09-24,194
2020-09-25,210
2020-09-27,218
2020-09-28,237
2020-09-30,262
2020-10-01,1
2020-10-02,108
2020-10-03,242
2020-10-05,276
2020-10-06,284
2020-10-07,288
2020-10-08,296
2020-10-09,307
2020-10-10,6
2020-10-11,20
2020-10-12,28
2020-10-14,51
2020-10-15,61
2020-10-16,76
2020-10-17,86
2020-10-19,100
2020-10-20,117
2020-10-21,130
2020-10-22,156
2020-10-23,168
2020-10-25,196
2020-10-26,211
