date,cases
2020-06-03,1
2020-06-06,2
2020-06-13,3
2020-06-23,4
2020-06-30,5
2020-07-01,6
2020-07-02,10
2020-07-03,11
2020-07-04,12
2020-07-05,13
2020-07-06,15
2020-07-07,17
2020-07-08,18
2020-07-11,21
2020-07-16,26
2020-07-18,27
2020-07-22,29
2020-07-23,30
2020-07-27,31
2020-07-30,33
2020-08-02,34
2020-08-04,35
2020-08-05,36
2020-08-06,37
2020-08-07,39
2020-08-10,41
2020-08-17,43
2020-08-22,44
2020-08-24,45
2020-08-25,48
2020-08-26,50
2020-08-31,51
2020-09-04,52
2020-09-07,54
2020-09-14,56
2020-09-15,58
2020-09-27,59
2020-09-29,60
2020-10-01,62
2020-10-05,63
2020-10-08,64
2020-10-09,65
2020-10-16,66
2020-10-20,67
2020-10-22,68
2020-10-27,71
2020-11-03,73
