date,cases
2020-06-15,55
2020-06-16,59
2020-06-20,99
2020-06-21,102
2020-06-25,132
2020-06-26,150
2020-07-01,7
2020-07-08,195
2020-07-13,32
2020-07-18,76
2020-07-22,110
2020-07-25,135
2020-07-30,175
2020-07-31,178
2020-08-02,84
2020-08-05,181
2020-08-07,187
2020-08-10,13
2020-08-12,28
2020-08-15,56
2020-08-16,61
2020-08-17,66
2020-08-18,78
2020-08-21,106
2020-08-24,131
2020-08-26,152
2020-08-27,154
2020-08-28,158
2020-08-29,164
2020-09-01,8
2020-09-02,95
2020-09-03,174
2020-09-04,180
2020-09-05,182
2020-09-06,184
2020-09-07,189
2020-09-10,15
2020-09-11,26
2020-09-12,29
2020-09-13,39
2020-09-14,43
2020-09-15,57
2020-09-16,65
2020-09-17,71
2020-09-19,82
2020-09-20,100
2020-09-22,111
2020-09-25,149
2020-09-26,153
2020-09-27,156
2020-09-28,160
2020-09-29,165
2020-09-30,177
2020-10-01,6
2020-10-02,83
2020-10-03,169
2020-10-06,183
2020-10-07,186
2020-10-08,194
2020-10-09,198
2020-10-10,9
2020-10-11,17
2020-10-12,27
2020-10-13,31
2020-10-14,41
2020-10-15,45
2020-10-18,75
2020-10-19,79
2020-10-20,96
2020-10-21,101
2020-10-22,108
