date,cases
2020-04-17,232
2020-06-04,657
2020-06-05,679
2020-06-07,726
2020-06-11,61
2020-06-12,108
2020-06-13,128
2020-06-19,291
2020-06-26,527
2020-06-28,554
2020-07-02,314
2020-07-04,658
2020-07-05,680
2020-07-06,707
2020-07-07,728
2020-07-08,752
2020-07-13,129
2020-07-14,152
2020-07-16,208
2020-07-20,339
2020-07-21,376
2020-07-22,406
2020-07-23,438
2020-07-25,513
2020-07-27,542
2020-07-28,555
2020-07-29,564
2020-07-30,612
2020-07-31,642
2020-08-01,19
2020-08-02,316
2020-08-03,587
2020-08-04,663
2020-08-05,684
2020-08-06,711
2020-08-07,730
2020-08-08,759
2020-08-09,774
2020-08-10,45
2020-08-11,81
2020-08-12,110
2020-08-13,134
2020-08-14,162
2020-08-15,193
2020-08-16,209
2020-08-17,238
2020-08-18,269
2020-08-19,294
2020-08-20,352
2020-08-21,380
2020-08-22,409
2020-08-23,445
2020-08-24,477
2020-08-25,518
2020-08-26,531
2020-08-27,550
2020-08-28,556
2020-08-29,567
2020-08-30,615
2020-08-31,651
2020-09-01,34
2020-09-02,326
2020-09-03,604
2020-09-04,676
2020-09-05,690
2020-09-06,715
2020-09-07,739
2020-09-08,765
2020-09-09,789
2020-09-10,58
2020-09-11,103
2020-09-12,117
2020-09-13,141
2020-09-14,173
2020-09-15,202
2020-09-16,229
2020-09-17,254
2020-09-18,283
2020-09-19,308
2020-09-20,361
2020-09-21,404
2020-09-22,434
2020-09-23,453
2020-09-24,510
2020-09-25,525
2020-09-26,538
2020-09-27,553
2020-09-28,561
2020-09-29,575
2020-09-30,636
2020-10-01,17
2020-10-02,313
2020-10-03,580
2020-10-04,656
2020-10-05,678
2020-10-06,706
2020-10-07,725
2020-10-08,751
2020-10-09,771
2020-10-10,42
2020-10-11,60
2020-10-12,105
2020-10-13,124
2020-10-14,150
2020-10-15,182
2020-10-16,206
2020-10-17,231
2020-10-18,257
2020-10-19,290
2020-10-20,338
2020-10-21,371
2020-10-22,405
2020-10-23,435
2020-10-26,526
2020-10-27,539
