date,cases
2020-07-16,17
2020-07-18,28
2020-07-23,66
2020-07-28,83
2020-07-29,89
2020-08-01,3
2020-08-05,107
2020-08-08,110
2020-08-11,7
2020-08-13,12
2020-08-14,13
2020-08-15,16
2020-08-17,21
2020-08-18,31
2020-08-19,36
2020-08-21,58
2020-08-22,61
2020-08-24,70
2020-08-25,73
2020-08-28,87
2020-08-30,96
2020-08-31,97
2020-09-05,108
2020-09-08,111
2020-09-14,14
2020-09-17,24
2020-09-18,33
2020-09-21,59
2020-09-22,64
2020-09-23,67
2020-09-24,71
2020-09-27,81
2020-09-29,90
2020-10-02,38
2020-10-03,91
2020-10-04,100
2020-10-13,8
2020-10-15,15
2020-10-17,19
2020-10-20,57
2020-10-23,65
2020-10-24,69
2020-10-27,74
2020-10-28,82
2020-10-29,88
2020-10-30,95
