date,cases
2020-04-24,247
2020-04-27,271
2020-05-02,167
2020-05-04,326
2020-05-10,15
2020-06-16,112
2020-06-19,160
2020-06-23,238
2020-06-25,255
2020-06-28,280
2020-07-07,371
2020-07-08,386
2020-07-13,57
2020-07-14,66
2020-07-15,98
2020-07-18,142
2020-07-22,219
2020-08-04,327
2020-08-05,344
2020-08-06,362
2020-08-07,373
2020-08-08,389
2020-08-09,405
2020-08-10,17
2020-08-11,39
2020-08-12,44
2020-08-13,58
2020-08-14,73
2020-08-16,113
2020-08-17,126
2020-08-18,144
2020-08-19,161
2020-08-20,185
2020-08-21,195
2020-08-22,222
2020-08-23,239
2020-08-24,248
2020-08-25,256
2020-08-26,265
2020-08-28,283
2020-08-30,309
2020-08-31,321
2020-09-02,168
2020-09-03,305
2020-09-04,329
2020-09-05,345
2020-09-06,363
2020-09-07,375
2020-09-08,394
2020-09-09,406
2020-09-10,18
2020-09-11,40
2020-09-12,46
2020-09-13,59
2020-09-14,76
2020-09-17,129
2020-09-18,145
2020-09-19,162
2020-09-20,187
2020-09-21,200
2020-09-22,228
2020-09-23,244
2020-09-24,252
2020-09-25,260
2020-09-26,268
2020-09-27,273
2020-09-28,292
2020-09-29,300
2020-09-30,315
2020-10-01,6
2020-10-02,166
2020-10-03,304
2020-10-04,325
2020-10-05,341
2020-10-06,353
2020-10-07,370
2020-10-08,385
2020-10-09,403
2020-10-10,14
2020-10-11,32
2020-10-12,42
2020-10-13,55
2020-10-14,61
2020-10-15,96
2020-10-16,111
2020-10-17,123
2020-10-18,141
2020-10-19,159
2020-10-20,183
2020-10-21,194
2020-10-22,218
2020-10-23,236
2020-10-24,246
2020-10-25,253
2020-10-26,262
2020-10-27,270
2020-10-28,277
2020-10-29,294
2020-10-30,308
2020-10-31,316
