date,cases
2020-05-26,157
2020-05-27,166
2020-06-08,230
2020-06-12,18
2020-06-19,68
2020-06-20,82
2020-06-23,126
2020-06-26,159
2020-06-29,190
2020-07-02,75
2020-07-04,210
2020-07-07,224
2020-07-14,33
2020-07-15,39
2020-07-16,46
2020-07-20,84
2020-07-21,100
2020-07-22,118
2020-07-23,133
2020-07-24,140
2020-07-27,170
2020-07-28,176
2020-07-30,199
2020-08-01,4
2020-08-02,79
2020-08-03,193
2020-08-04,212
2020-08-05,218
2020-08-06,222
2020-08-07,226
2020-08-08,232
2020-08-10,8
2020-08-11,13
2020-08-12,19
2020-08-13,30
2020-08-14,35
2020-08-15,40
2020-08-16,47
2020-08-17,50
2020-08-18,57
2020-08-19,71
2020-08-20,91
2020-08-21,107
2020-08-22,122
2020-08-23,136
2020-08-24,150
2020-08-25,154
2020-08-26,160
2020-08-28,181
2020-08-29,191
2020-08-30,200
2020-08-31,208
2020-09-01,5
2020-09-03,194
2020-09-04,213
2020-09-07,229
2020-09-08,235
2020-09-09,237
2020-09-10,11
2020-09-11,16
2020-09-12,23
2020-09-14,36
2020-09-15,43
2020-09-16,48
2020-09-17,55
2020-09-18,63
2020-09-20,93
2020-09-21,110
2020-09-22,124
2020-09-23,138
2020-09-24,152
2020-09-25,155
2020-09-26,162
2020-09-27,172
2020-09-28,188
2020-09-30,202
2020-10-01,3
2020-10-02,73
2020-10-04,209
2020-10-05,216
2020-10-06,220
2020-10-07,223
2020-10-09,236
2020-10-10,7
2020-10-12,17
2020-10-13,25
2020-10-14,32
2020-10-15,38
2020-10-16,45
2020-10-19,67
2020-10-20,81
2020-10-21,95
2020-10-22,113
2020-10-24,139
2020-10-27,164
2020-10-29,189
2020-10-30,195
