date,cases
2020-03-19,1
2020-03-23,2
2020-05-12,3
2020-05-27,4
2020-05-28,7
2020-06-03,8
2020-06-07,9
2020-06-08,11
2020-06-09,12
2020-06-10,13
2020-06-11,17
2020-06-12,19
2020-06-14,22
2020-06-16,23
2020-06-19,26
2020-06-23,28
2020-06-24,30
2020-06-26,31
2020-06-27,33
2020-06-29,34
2020-06-30,36
2020-07-01,38
2020-07-02,44
2020-07-03,45
2020-07-04,47
2020-07-05,48
2020-07-06,53
2020-07-07,63
2020-07-08,72
2020-07-09,80
2020-07-10,92
2020-07-11,96
2020-07-12,102
2020-07-13,117
2020-07-14,127
2020-07-15,144
2020-07-16,165
2020-07-17,177
2020-07-18,190
2020-07-19,194
2020-07-20,204
2020-07-21,222
2020-07-22,233
2020-07-23,249
2020-07-24,259
2020-07-25,269
2020-07-26,278
2020-07-27,301
2020-07-28,324
2020-07-29,340
2020-07-30,356
2020-07-31,377
2020-08-01,387
2020-08-02,396
2020-08-03,419
2020-08-04,446
2020-08-05,470
2020-08-06,492
2020-08-07,510
2020-08-08,541
2020-08-09,553
2020-08-10,583
2020-08-11,608
2020-08-12,625
2020-08-13,639
2020-08-14,677
2020-08-15,691
2020-08-16,722
2020-08-17,734
2020-08-18,768
2020-08-19,785
2020-08-20,800
2020-08-21,811
2020-08-22,820
2020-08-23,827
2020-08-24,859
2020-08-25,874
2020-08-26,882
2020-08-27,893
2020-08-28,910
2020-08-29,914
2020-08-30,924
2020-08-31,930
2020-09-01,936
2020-09-02,947
2020-09-03,961
2020-09-04,967
2020-09-05,971
2020-09-06,977
2020-09-07,1001
2020-09-08,1017
2020-09-09,1026
2020-09-10,1043
2020-09-11,1056
2020-09-12,1063
2020-09-13,1068
2020-09-14,1076
2020-09-15,1084
2020-09-16,1089
2020-09-17,1100
2020-09-18,1106
2020-09-19,1112
2020-09-20,1118
2020-09-21,1131
2020-09-22,1141
2020-09-23,1147
2020-09-24,1150
2020-09-25,1164
2020-09-26,1170
2020-09-27,1175
2020-09-28,1192
2020-09-29,1208
2020-09-30,1217
2020-10-01,1229
2020-10-02,1249
2020-10-03,1263
2020-10-04,1266
2020-10-05,1276
2020-10-06,1295
2020-10-07,1304
2020-10-08,1319
2020-10-09,1334
2020-10-10,1344
2020-10-11,1351
2020-10-12,1358
2020-10-13,1369
2020-10-14,1382
2020-10-15,1405
2020-10-16,1425
2020-10-17,1443
2020-10-18,1452
2020-10-19,1477
2020-10-20,1496
2020-10-21,1520
2020-10-22,1541
2020-10-23,1560
2020-10-24,1570
2020-10-25,1581
2020-10-26,1606
2020-10-27,1620
2020-10-28,1629
2020-10-29,1647
2020-10-30,1653
2020-10-31,1668
2020-11-01,1676
2020-11-02,1685
2020-11-03,1698
2020-11-04,1703
2020-11-05,1719
2020-11-06,1741
2020-11-07,1753
2020-11-08,1764
2020-11-09,1796
2020-11-10,1810
2020-11-11,1824
2020-11-12,1840
2020-11-13,1855
2020-11-14,1867
2020-11-15,1871
2020-11-16,1880
2020-11-17,1901
2020-11-18,1914
2020-11-19,1931
2020-11-20,1955
2020-11-21,1964
2020-11-22,1967
2020-11-23,1989
2020-11-24,2002
2020-11-25,2019
2020-11-26,2028
2020-11-27,2038
2020-11-28,2039
