date,cases
2020-05-08,216
2020-05-15,35
2020-05-19,73
2020-05-21,88
2020-05-22,112
2020-05-28,177
2020-06-02,81
2020-06-06,196
2020-06-11,12
2020-06-12,16
2020-06-16,36
2020-06-17,38
2020-06-18,47
2020-06-19,74
2020-06-22,113
2020-06-24,128
2020-06-25,142
2020-06-26,147
2020-07-01,4
2020-07-02,82
2020-07-04,189
2020-07-06,200
2020-07-07,213
2020-07-08,217
2020-07-10,7
2020-07-13,20
2020-07-14,27
2020-07-16,37
2020-07-17,43
2020-07-18,51
2020-07-19,77
2020-07-21,100
2020-07-22,115
2020-07-23,118
2020-07-24,134
2020-07-25,143
2020-07-27,156
2020-07-28,181
2020-07-30,185
2020-07-31,188
2020-08-04,190
2020-08-05,193
2020-08-06,205
2020-08-10,8
2020-08-11,13
2020-08-12,17
2020-08-13,23
2020-08-14,28
2020-08-17,45
2020-08-18,53
2020-08-19,80
2020-08-21,107
2020-08-24,141
2020-08-26,152
2020-09-04,191
2020-09-07,215
2020-09-09,218
2020-09-12,19
2020-09-14,33
2020-09-22,117
2020-09-23,121
2020-09-25,145
2020-09-27,157
2020-09-28,183
2020-10-01,1
2020-10-06,194
2020-10-14,25
2020-10-15,34
2020-10-19,72
2020-10-20,83
2020-10-21,87
2020-10-22,108
