date,cases
2020-03-19,1
2020-03-22,2
2020-03-25,3
2020-03-28,4
2020-04-03,5
2020-04-07,6
2020-04-09,7
2020-04-14,8
2020-05-08,9
2020-05-17,13
2020-05-18,16
2020-05-19,17
2020-05-20,19
2020-05-21,21
2020-05-22,23
2020-05-23,25
2020-05-24,26
2020-05-25,27
2020-05-28,29
2020-05-29,33
2020-05-30,35
2020-05-31,36
2020-06-01,40
2020-06-02,43
2020-06-03,45
2020-06-04,49
2020-06-06,50
2020-06-07,52
2020-06-08,53
2020-06-09,55
2020-06-10,58
2020-06-11,59
2020-06-12,62
2020-06-13,64
2020-06-14,66
2020-06-15,67
2020-06-16,69
2020-06-17,70
2020-06-19,72
2020-06-20,76
2020-06-21,77
2020-06-23,85
2020-06-24,91
2020-06-25,93
2020-06-26,98
2020-06-27,102
2020-06-28,104
2020-06-29,107
2020-06-30,119
2020-07-01,129
2020-07-02,136
2020-07-03,148
2020-07-04,154
2020-07-05,155
2020-07-06,161
2020-07-07,170
2020-07-08,181
2020-07-09,190
2020-07-10,207
2020-07-11,220
2020-07-12,230
2020-07-13,237
2020-07-14,244
2020-07-15,251
2020-07-16,274
2020-07-17,280
2020-07-18,285
2020-07-19,290
2020-07-20,310
2020-07-21,335
2020-07-22,347
2020-07-23,361
2020-07-24,380
2020-07-25,394
2020-07-26,407
2020-07-27,421
2020-07-28,439
2020-07-29,461
2020-07-30,495
2020-07-31,528
2020-08-01,537
2020-08-02,550
2020-08-03,574
2020-08-04,595
2020-08-05,622
2020-08-06,644
2020-08-07,666
2020-08-08,678
2020-08-09,683
2020-08-10,705
2020-08-11,735
2020-08-12,766
2020-08-13,790
2020-08-14,806
2020-08-15,818
2020-08-16,839
2020-08-17,870
2020-08-18,897
2020-08-19,913
2020-08-20,933
2020-08-21,961
2020-08-22,973
2020-08-23,990
2020-08-24,1029
2020-08-25,1053
2020-08-26,1070
2020-08-27,1089
2020-08-28,1101
2020-08-29,1111
2020-08-30,1112
2020-08-31,1132
2020-09-01,1150
2020-09-02,1175
2020-09-03,1186
2020-09-04,1225
2020-09-05,1232
2020-09-06,1236
2020-09-07,1256
2020-09-08,1270
2020-09-09,1300
2020-09-10,1311
2020-09-11,1327
2020-09-12,1335
2020-09-13,1347
2020-09-14,1369
2020-09-15,1388
2020-09-16,1402
2020-09-17,1411
2020-09-18,1428
2020-09-19,1438
2020-09-20,1444
2020-09-21,1466
2020-09-22,1475
2020-09-23,1487
2020-09-24,1506
2020-09-25,1521
2020-09-26,1536
2020-09-27,1546
2020-09-28,1560
2020-09-29,1576
2020-09-30,1581
2020-10-01,1591
2020-10-02,1603
2020-10-03,1604
2020-10-04,1609
2020-10-05,1626
2020-10-06,1644
2020-10-07,1664
2020-10-08,1680
2020-10-09,1690
2020-10-10,1698
2020-10-11,1704
2020-10-12,1706
2020-10-13,1716
2020-10-14,1736
2020-10-15,1747
2020-10-16,1759
2020-10-17,1772
2020-10-18,1775
2020-10-19,1800
2020-10-20,1815
2020-10-21,1841
2020-10-22,1861
2020-10-23,1876
2020-10-24,1886
2020-10-25,1892
2020-10-26,1900
2020-10-27,1905
2020-10-28,1923
2020-10-29,1934
2020-10-30,1944
2020-10-31,1948
2020-11-01,1953
2020-11-02,1958
2020-11-03,1963
2020-11-04,1981
2020-11-05,2008
2020-11-06,2028
2020-11-07,2038
2020-11-08,2045
2020-11-09,2056
2020-11-10,2067
2020-11-11,2081
2020-11-12,2097
2020-11-13,2101
2020-11-14,2119
2020-11-15,2123
2020-11-16,2129
2020-11-17,2144
2020-11-18,2156
2020-11-19,2169
2020-11-20,2178
2020-11-21,2184
2020-11-22,2185
2020-11-23,2190
2020-11-24,2195
2020-11-25,2203
2020-11-27,2204
2020-11-28,2205
