date,cases
2020-04-10,67
2020-04-12,217
2020-04-16,503
2020-04-17,616
2020-04-23,1251
2020-04-25,1495
2020-04-28,1751
2020-04-29,1817
2020-04-30,2009
2020-05-01,10
2020-05-02,867
2020-05-04,2118
2020-05-05,2190
2020-05-06,2263
2020-05-07,2376
2020-05-08,2455
2020-05-09,2565
2020-05-10,74
2020-05-11,148
2020-05-12,224
2020-05-13,299
2020-05-14,375
2020-05-15,431
2020-05-16,525
2020-05-17,624
2020-05-18,690
2020-05-19,785
2020-05-20,996
2020-05-21,1103
2020-05-22,1175
2020-05-23,1270
2020-05-24,1362
2020-05-25,1507
2020-05-26,1627
2020-05-27,1694
2020-05-28,1770
2020-05-29,1839
2020-05-30,2029
2020-05-31,2098
2020-06-01,22
2020-06-02,896
2020-06-03,1898
2020-06-04,2142
2020-06-05,2211
2020-06-06,2277
2020-06-07,2386
2020-06-08,2494
2020-06-09,2604
2020-06-10,121
2020-06-11,193
2020-06-12,261
2020-06-13,326
2020-06-14,390
2020-06-15,465
2020-06-16,575
2020-06-17,648
2020-06-18,746
2020-06-19,840
2020-06-20,1035
2020-06-21,1133
2020-06-22,1198
2020-06-23,1325
2020-06-24,1462
2020-06-25,1564
2020-06-26,1672
2020-06-27,1730
2020-06-28,1784
2020-06-29,1863
2020-06-30,2071
2020-07-01,55
2020-07-02,958
2020-07-03,1926
2020-07-04,2170
2020-07-05,2228
2020-07-06,2352
2020-07-07,2415
2020-07-08,2533
2020-07-09,2629
2020-07-10,136
2020-07-11,207
2020-07-12,274
2020-07-13,362
2020-07-14,405
2020-07-15,491
2020-07-16,610
2020-07-17,672
2020-07-18,765
2020-07-19,854
2020-07-20,1047
2020-07-21,1147
2020-07-22,1211
2020-07-23,1349
2020-07-24,1487
2020-07-25,1595
2020-07-26,1679
2020-07-27,1742
2020-07-28,1802
2020-07-29,1877
2020-07-30,2090
2020-07-31,2104
2020-08-01,63
2020-08-02,966
2020-08-03,1994
2020-08-04,2179
2020-08-05,2234
2020-08-06,2366
2020-08-07,2439
2020-08-08,2540
2020-08-09,2631
2020-08-10,138
2020-08-11,211
2020-08-12,281
2020-08-13,363
2020-08-14,408
2020-08-15,495
2020-08-16,613
2020-08-17,673
2020-08-18,766
2020-08-19,856
2020-08-20,1052
2020-08-21,1150
2020-08-22,1224
2020-08-23,1350
2020-08-24,1491
2020-08-25,1599
2020-08-26,1680
2020-08-27,1746
2020-08-28,1810
2020-08-29,1879
2020-08-31,2108
2020-09-01,64
2020-09-02,967
2020-09-03,1997
2020-09-05,2235
2020-09-08,2541
2020-09-09,2634
2020-09-11,215
2020-09-12,282
2020-09-14,409
2020-09-15,497
2020-09-16,614
2020-09-17,675
2020-09-19,858
2020-09-20,1068
2020-09-21,1153
2020-09-22,1225
2020-09-23,1351
2020-09-25,1601
2020-09-26,1682
2020-09-27,1748
2020-09-28,1812
2020-09-29,1880
2020-09-30,2092
2020-10-03,1881
2020-10-05,2184
2020-10-06,2236
2020-10-07,2369
2020-10-09,2544
2020-10-10,66
2020-10-11,140
2020-10-12,216
2020-10-13,283
2020-10-14,367
2020-10-15,415
2020-10-16,502
2020-10-17,615
2020-10-19,769
2020-10-20,972
2020-10-21,1074
2020-10-22,1155
2020-10-23,1250
2020-10-24,1352
2020-10-25,1492
2020-10-26,1606
2020-10-27,1683
2020-10-28,1750
2020-10-30,1998
