date,cases
2020-04-25,2
2020-04-29,3
2020-05-04,4
2020-05-08,5
2020-05-21,7
2020-05-23,8
2020-05-28,10
2020-06-03,11
2020-06-06,12
2020-06-08,15
2020-06-12,18
2020-06-15,20
2020-06-17,22
2020-06-18,23
2020-06-22,24
2020-06-23,32
2020-06-24,40
2020-06-25,41
2020-06-27,44
2020-06-29,45
2020-06-30,49
2020-07-02,50
2020-07-03,52
2020-07-04,53
2020-07-05,59
2020-07-07,65
2020-07-08,66
2020-07-09,68
2020-07-10,69
2020-07-11,70
2020-07-13,71
2020-07-14,75
2020-07-17,81
2020-07-21,84
2020-07-22,87
2020-07-23,96
2020-07-24,97
2020-07-25,105
2020-07-26,112
2020-07-27,136
2020-07-28,144
2020-07-29,153
2020-07-30,157
2020-07-31,159
2020-08-03,180
2020-08-04,193
2020-08-06,198
2020-08-08,200
2020-08-09,202
2020-08-10,203
2020-08-11,209
2020-08-12,211
2020-08-13,232
2020-08-16,233
2020-08-18,239
2020-08-20,240
2020-08-21,241
2020-08-22,249
2020-08-25,250
2020-08-26,251
2020-08-27,255
2020-08-28,257
2020-08-31,258
2020-09-02,260
2020-09-03,262
2020-09-04,266
2020-09-06,267
2020-09-08,268
2020-09-11,272
2020-09-12,273
2020-09-13,275
2020-09-18,276
2020-09-25,277
2020-09-27,278
2020-09-28,279
2020-10-02,280
2020-10-06,282
2020-10-09,283
2020-10-11,284
2020-10-13,285
2020-10-14,286
2020-10-20,287
2020-10-21,288
2020-10-22,289
2020-11-09,292
2020-11-11,293
2020-11-12,294
2020-11-15,295
2020-11-16,297
2020-11-17,298
2020-11-18,299
2020-11-19,301
2020-11-20,303
2020-11-27,306
2020-11-28,308
2020-12-03,309
2020-12-07,310
