date,cases
2020-03-07,1
2020-03-09,3
2020-03-11,6
2020-03-12,7
2020-03-15,8
2020-03-16,10
2020-03-17,14
2020-03-18,18
2020-03-19,30
2020-03-20,38
2020-03-21,41
2020-03-23,44
2020-03-24,52
2020-03-25,58
2020-03-26,68
2020-03-27,78
2020-03-28,93
2020-03-29,97
2020-03-30,107
2020-03-31,111
2020-04-01,117
2020-04-02,125
2020-04-03,137
2020-04-04,140
2020-04-05,146
2020-04-06,147
2020-04-07,154
2020-04-08,158
2020-04-09,162
2020-04-10,168
2020-04-11,177
2020-04-12,181
2020-04-13,186
2020-04-14,206
2020-04-15,217
2020-04-16,225
2020-04-18,231
2020-04-19,236
2020-04-20,245
2020-04-21,248
2020-04-22,256
2020-04-23,262
2020-04-24,271
2020-04-25,273
2020-04-26,275
2020-04-27,284
2020-04-28,285
2020-04-29,288
2020-04-30,290
2020-05-01,293
2020-05-02,297
2020-05-03,302
2020-05-04,304
2020-05-05,306
2020-05-06,309
2020-05-07,315
2020-05-08,318
2020-05-09,322
2020-05-10,328
2020-05-11,339
2020-05-12,348
2020-05-13,354
2020-05-14,363
2020-05-15,373
2020-05-16,380
2020-05-17,390
2020-05-18,398
2020-05-19,418
2020-05-20,426
2020-05-21,457
2020-05-22,474
2020-05-23,485
2020-05-24,493
2020-05-25,507
2020-05-26,526
2020-05-27,552
2020-05-28,582
2020-05-29,590
2020-05-30,602
2020-05-31,612
2020-06-01,635
2020-06-02,655
2020-06-03,692
2020-06-04,716
2020-06-05,750
2020-06-06,775
2020-06-07,829
2020-06-08,883
2020-06-09,922
2020-06-10,971
2020-06-11,1023
2020-06-12,1064
2020-06-13,1096
2020-06-14,1131
2020-06-15,1184
2020-06-16,1301
2020-06-17,1454
2020-06-18,1534
2020-06-19,1615
2020-06-20,1683
2020-06-21,1726
2020-06-22,1833
2020-06-23,1976
2020-06-24,2134
2020-06-25,2364
2020-06-26,2549
2020-06-27,2688
2020-06-28,2817
2020-06-29,2942
2020-06-30,3253
2020-07-01,3500
2020-07-02,3849
2020-07-03,4286
2020-07-04,4650
2020-07-05,5067
2020-07-06,5600
2020-07-07,6196
2020-07-08,6877
2020-07-09,7635
2020-07-10,8589
2020-07-11,9405
2020-07-12,9936
2020-07-13,10901
2020-07-14,11880
2020-07-15,12731
2020-07-16,13582
2020-07-17,14484
2020-07-18,15437
2020-07-19,16034
2020-07-20,17046
2020-07-21,18080
2020-07-22,18927
2020-07-23,19873
2020-07-24,20797
2020-07-25,21832
2020-07-26,22704
2020-07-27,23910
2020-07-28,25184
2020-07-29,26168
2020-07-30,26942
2020-07-31,27773
2020-08-01,28644
2020-08-02,29236
2020-08-03,30047
2020-08-04,30857
2020-08-05,31688
2020-08-06,32402
2020-08-07,33070
2020-08-08,34009
2020-08-09,34661
2020-08-10,35652
2020-08-11,36312
2020-08-12,37133
2020-08-13,38053
2020-08-14,38827
2020-08-15,39585
2020-08-16,40305
2020-08-17,41037
2020-08-18,42029
2020-08-19,42854
2020-08-20,43727
2020-08-21,44435
2020-08-22,45146
2020-08-23,45914
2020-08-24,46993
2020-08-25,47816
2020-08-26,48343
2020-08-27,48839
2020-08-28,49426
2020-08-29,50051
2020-08-30,50653
2020-08-31,51487
2020-09-01,52193
2020-09-02,52830
2020-09-03,53538
2020-09-04,54510
2020-09-05,55217
2020-09-06,55944
2020-09-07,56773
2020-09-08,57441
2020-09-09,58086
2020-09-10,58823
2020-09-11,59545
2020-09-12,60215
2020-09-13,60834
2020-09-14,61589
2020-09-15,62172
2020-09-16,62595
2020-09-17,63090
2020-09-18,63637
2020-09-19,64322
2020-09-20,64742
2020-09-21,65490
2020-09-22,66223
2020-09-23,66863
2020-09-24,67628
2020-09-25,68289
2020-09-26,69144
2020-09-27,70148
2020-09-28,71534
2020-09-29,72292
2020-09-30,73255
2020-10-01,74155
2020-10-02,75312
2020-10-03,76215
2020-10-04,77171
2020-10-05,78565
2020-10-06,79522
2020-10-07,80342
2020-10-08,81204
2020-10-09,82244
2020-10-10,83095
2020-10-11,83938
2020-10-12,84787
2020-10-13,85643
2020-10-14,86698
2020-10-15,87577
2020-10-16,88663
2020-10-17,89821
2020-10-18,90498
2020-10-19,92021
2020-10-20,93260
2020-10-21,94425
2020-10-22,95776
2020-10-23,97400
2020-10-24,98374
2020-10-25,99548
2020-10-26,100618
2020-10-27,101580
2020-10-28,102356
2020-10-29,103235
2020-10-30,104237
2020-10-31,104879
2020-11-01,105528
2020-11-02,106126
2020-11-03,106807
2020-11-04,107413
2020-11-05,107996
2020-11-06,108584
2020-11-07,109113
2020-11-08,109712
2020-11-09,110640
2020-11-10,111321
2020-11-11,111895
2020-11-12,112746
2020-11-13,113442
2020-11-14,114013
2020-11-15,114475
2020-11-16,114890
2020-11-17,115636
2020-11-18,116254
2020-11-19,116825
2020-11-20,117302
2020-11-21,117692
2020-11-22,117997
2020-11-23,118449
2020-11-24,118847
2020-11-25,119373
2020-11-26,119802
2020-11-27,120317
2020-11-28,120834
2020-11-29,121226
2020-11-30,121916
2020-12-01,122650
2020-12-02,123435
2020-12-03,124157
2020-12-04,124888
2020-12-05,125491
2020-12-06,125811
2020-12-07,126707
2020-12-08,127011
2020-12-09,127931
2020-12-10,128969
2020-12-11,129878
2020-12-12,130610
2020-12-13,131014
2020-12-14,132089
2020-12-15,133113
2020-12-16,134093
2020-12-17,135223
2020-12-18,136051
2020-12-19,136905
2020-12-20,137298
2020-12-21,137409
