date,cases
2020-04-12,1
2020-04-27,3
2020-05-02,5
2020-05-10,6
2020-05-11,7
2020-05-17,8
2020-05-27,9
2020-05-31,10
2020-06-01,11
2020-06-05,12
2020-06-08,13
2020-06-15,15
2020-06-16,16
2020-06-17,17
2020-06-19,18
2020-06-23,19
2020-06-24,20
2020-06-25,23
2020-06-30,28
2020-07-01,30
2020-07-02,32
2020-07-03,35
2020-07-06,37
2020-07-07,39
2020-07-08,40
2020-07-12,43
2020-07-13,46
2020-07-14,54
2020-07-16,56
2020-07-17,59
2020-07-18,61
2020-07-21,64
2020-07-25,65
2020-07-27,66
2020-07-28,70
2020-07-29,72
2020-07-31,74
2020-08-01,76
2020-08-02,77
2020-08-03,79
2020-08-04,81
2020-08-05,83
2020-08-06,85
2020-08-07,87
2020-08-08,88
2020-08-10,95
2020-08-11,100
2020-08-12,108
2020-08-13,119
2020-08-14,126
2020-08-15,129
2020-08-16,134
2020-08-17,143
2020-08-18,148
2020-08-19,154
2020-08-20,168
2020-08-21,175
2020-08-22,176
2020-08-23,177
2020-08-24,197
2020-08-25,217
2020-08-26,220
2020-08-27,227
2020-08-28,228
2020-08-30,231
2020-08-31,236
2020-09-01,244
2020-09-02,248
2020-09-03,250
2020-09-04,252
2020-09-05,254
2020-09-07,257
2020-09-08,258
2020-09-09,263
2020-09-10,268
2020-09-11,272
2020-09-12,273
2020-09-13,275
2020-09-14,278
2020-09-15,280
2020-09-17,283
2020-09-18,287
2020-09-19,288
2020-09-21,293
2020-09-22,300
2020-09-23,304
2020-09-26,306
2020-09-27,315
2020-09-28,319
2020-09-29,320
2020-09-30,327
2020-10-01,333
2020-10-02,341
2020-10-03,345
2020-10-04,352
2020-10-05,371
2020-10-06,386
2020-10-07,401
2020-10-08,412
2020-10-09,422
2020-10-10,432
2020-10-11,434
2020-10-12,439
2020-10-13,449
2020-10-14,459
2020-10-15,477
2020-10-16,494
2020-10-17,508
2020-10-18,525
2020-10-19,549
2020-10-20,582
2020-10-21,592
2020-10-22,599
2020-10-23,609
2020-10-24,617
2020-10-25,622
2020-10-26,633
2020-10-27,641
2020-10-28,661
2020-10-29,691
2020-10-30,709
2020-10-31,719
2020-11-01,740
2020-11-02,757
2020-11-03,771
2020-11-04,789
2020-11-05,812
2020-11-06,832
2020-11-07,868
2020-11-08,897
2020-11-09,922
2020-11-10,935
2020-11-11,941
2020-11-12,954
2020-11-13,974
2020-11-14,975
2020-11-15,981
2020-11-16,982
2020-11-17,993
2020-11-18,999
2020-11-19,1002
2020-11-20,1007
2020-11-23,1009
2020-11-24,1010
2020-11-26,1013
