date,cases
2020-05-07,11
2020-07-12,14
2020-07-13,15
2020-07-30,23
2020-08-02,24
2020-08-03,25
2020-08-04,26
2020-08-05,64
2020-08-06,65
2020-08-08,67
2020-08-09,68
2020-08-11,70
2020-08-12,75
2020-08-13,77
2020-08-14,89
2020-08-15,106
2020-08-16,117
2020-08-17,123
2020-08-18,126
2020-08-19,133
2020-08-20,138
2020-08-21,182
2020-08-22,231
2020-08-23,258
2020-08-24,275
2020-08-25,293
2020-08-26,306
2020-08-27,331
2020-08-28,350
2020-08-29,361
2020-08-30,371
2020-08-31,437
2020-09-01,466
2020-09-02,473
2020-09-03,486
2020-09-04,514
2020-09-05,523
2020-09-06,531
2020-09-07,552
2020-09-08,574
2020-09-09,581
2020-09-10,587
2020-09-11,595
2020-09-12,601
2020-09-13,609
2020-09-14,616
2020-09-15,642
2020-09-16,666
2020-09-17,698
2020-09-18,721
2020-09-19,731
2020-09-20,744
2020-09-21,753
2020-09-22,763
2020-09-23,773
2020-09-24,775
2020-09-25,787
2020-09-26,790
2020-09-27,811
2020-09-28,815
2020-09-29,818
2020-10-01,819
2020-10-02,820
2020-10-05,826
2020-10-06,827
2020-10-08,831
2020-10-09,846
2020-10-10,847
2020-10-11,851
2020-10-15,856
2020-10-19,858
2020-10-20,859
2020-10-21,861
2020-10-23,862
2020-10-24,863
2020-10-26,866
2020-10-30,867
