date,cases
2020-05-20,1
2020-06-05,3
2020-06-15,4
2020-06-30,5
2020-07-03,7
2020-07-04,8
2020-07-06,18
2020-07-07,23
2020-07-08,25
2020-07-09,27
2020-07-11,37
2020-07-12,38
2020-07-13,40
2020-07-14,42
2020-07-15,73
2020-07-16,91
2020-07-17,99
2020-07-18,103
2020-07-19,105
2020-07-20,112
2020-07-21,119
2020-07-22,130
2020-07-23,133
2020-07-24,143
2020-07-25,154
2020-07-26,178
2020-07-27,185
2020-07-28,192
2020-07-29,210
2020-07-30,224
2020-07-31,236
2020-08-01,242
2020-08-02,252
2020-08-03,261
2020-08-04,270
2020-08-05,300
2020-08-06,316
2020-08-07,342
2020-08-08,355
2020-08-09,365
2020-08-10,377
2020-08-11,388
2020-08-12,426
2020-08-13,437
2020-08-14,469
2020-08-15,479
2020-08-16,499
2020-08-17,525
2020-08-18,537
2020-08-19,595
2020-08-20,607
2020-08-21,635
2020-08-22,670
2020-08-24,674
2020-08-25,707
2020-08-26,731
2020-08-27,733
2020-08-28,749
2020-08-29,756
2020-08-30,766
2020-08-31,786
2020-09-01,799
2020-09-02,809
2020-09-03,814
2020-09-04,821
2020-09-05,830
2020-09-06,835
2020-09-07,842
2020-09-08,849
2020-09-09,855
2020-09-10,858
2020-09-11,863
2020-09-13,877
2020-09-14,883
2020-09-15,886
2020-09-16,896
2020-09-17,903
2020-09-18,911
2020-09-19,930
2020-09-20,937
2020-09-21,958
2020-09-22,964
2020-09-23,970
2020-09-24,976
2020-09-25,988
2020-09-26,1007
2020-09-27,1009
2020-09-28,1032
2020-09-29,1042
2020-09-30,1047
2020-10-01,1050
2020-10-02,1053
2020-10-03,1059
2020-10-04,1064
2020-10-05,1093
2020-10-06,1100
2020-10-07,1109
2020-10-08,1121
2020-10-09,1123
2020-10-10,1133
2020-10-11,1137
2020-10-12,1138
2020-10-13,1144
2020-10-14,1149
2020-10-15,1158
2020-10-16,1169
2020-10-17,1175
2020-10-18,1178
2020-10-19,1197
2020-10-20,1221
2020-10-21,1224
2020-10-22,1249
2020-10-23,1263
2020-10-24,1268
2020-10-26,1279
2020-10-27,1281
2020-10-28,1283
2020-10-29,1287
2020-11-01,1289
2020-11-02,1291
2020-11-03,1292
