date,cases
2020-05-15,1
2020-05-24,2
2020-06-15,3
2020-06-22,5
2020-06-23,6
2020-07-11,8
2020-07-12,11
2020-07-13,13
2020-07-17,14
2020-07-19,15
2020-07-21,16
2020-07-22,17
2020-07-23,18
2020-07-25,19
2020-07-26,20
2020-07-27,26
2020-07-28,27
2020-07-29,31
2020-07-30,35
2020-08-01,36
2020-08-02,37
2020-08-03,46
2020-08-05,115
2020-08-06,118
2020-08-07,121
2020-08-08,122
2020-08-09,132
2020-08-10,141
2020-08-11,172
2020-08-12,178
2020-08-13,191
2020-08-15,193
2020-08-16,199
2020-08-18,202
2020-08-21,210
2020-08-22,213
2020-08-23,228
2020-08-24,229
2020-08-26,232
2020-08-27,233
2020-08-28,235
2020-08-31,237
2020-09-02,238
2020-09-03,239
2020-09-05,246
2020-09-06,249
2020-09-07,254
2020-09-08,266
2020-09-10,276
2020-09-11,281
2020-09-12,288
2020-09-15,294
2020-09-16,295
2020-09-17,296
2020-09-18,299
2020-09-21,300
2020-09-22,304
2020-09-23,311
2020-09-24,312
2020-09-25,313
2020-09-27,314
2020-09-29,318
2020-10-05,319
2020-10-08,320
2020-10-18,321
2020-10-25,325
2020-10-27,326
2020-11-01,328
2020-11-06,331
2020-11-08,332
2020-11-14,334
2020-11-15,335
2020-11-18,336
2020-11-21,337
2020-11-26,338
2020-11-29,339
2020-12-01,341
2020-12-02,347
2020-12-07,348
2020-12-10,350
2020-12-11,351
2020-12-12,352
2020-12-16,353
2020-12-21,354
2020-12-28,355
