date,cases
2020-07-13,1
2020-07-22,2
2020-08-09,3
2020-08-10,4
2020-09-24,5
2020-09-25,6
2020-09-28,7
2020-10-05,8
2020-10-07,9
2020-10-13,10
2020-10-14,11
2020-10-15,12
2020-10-16,14
2020-10-19,17
2020-10-21,18
2020-10-24,19
2020-10-25,21
2020-10-26,24
2020-10-28,25
2020-10-30,26
2020-11-02,27
2020-11-03,28
2020-11-06,30
2020-11-07,31
2020-11-09,33
2020-11-10,37
2020-11-11,38
2020-11-14,39
2020-11-15,40
2020-11-17,43
2020-11-18,44
2020-11-19,45
2020-11-20,47
2020-11-21,49
2020-11-22,50
2020-11-25,54
2020-11-26,56
2020-12-01,57
2020-12-02,58
