date,cases
2020-03-25,1
2020-03-29,2
2020-03-31,5
2020-04-04,8
2020-04-05,9
2020-04-07,11
2020-04-12,12
2020-04-13,14
2020-04-14,15
2020-04-17,16
2020-04-24,17
2020-04-25,18
2020-05-04,19
2020-05-05,23
2020-05-06,24
2020-05-09,25
2020-05-10,26
2020-05-11,28
2020-05-12,34
2020-05-13,45
2020-05-16,46
2020-05-18,50
2020-05-21,56
2020-05-23,58
2020-05-24,66
2020-05-25,70
2020-05-26,71
2020-05-27,74
2020-05-29,76
2020-05-30,77
2020-05-31,86
2020-06-02,104
2020-06-03,112
2020-06-04,115
2020-06-05,122
2020-06-06,132
2020-06-07,141
2020-06-08,148
2020-06-09,151
2020-06-10,163
2020-06-11,178
2020-06-12,192
2020-06-13,203
2020-06-14,213
2020-06-15,226
2020-06-16,248
2020-06-17,255
2020-06-18,264
2020-06-19,280
2020-06-20,297
2020-06-21,306
2020-06-22,318
2020-06-23,341
2020-06-24,384
2020-06-25,432
2020-06-26,498
2020-06-27,541
2020-06-28,609
2020-06-29,658
2020-06-30,714
2020-07-01,826
2020-07-02,941
2020-07-03,1042
2020-07-04,1145
2020-07-05,1251
2020-07-06,1365
2020-07-07,1486
2020-07-08,1625
2020-07-09,1756
2020-07-10,1996
2020-07-11,2187
2020-07-12,2307
2020-07-13,2694
2020-07-14,2916
2020-07-15,3118
2020-07-16,3431
2020-07-17,3711
2020-07-18,3926
2020-07-19,4033
2020-07-20,4155
2020-07-21,4425
2020-07-22,4674
2020-07-23,5074
2020-07-24,5297
2020-07-25,5488
2020-07-26,5635
2020-07-27,6173
2020-07-28,6664
2020-07-29,6917
2020-07-30,7369
2020-07-31,7652
2020-08-01,7995
2020-08-02,8071
2020-08-03,8465
2020-08-04,8852
2020-08-05,9153
2020-08-06,9658
2020-08-07,9840
2020-08-08,10024
2020-08-09,10082
2020-08-10,10226
2020-08-11,10340
2020-08-12,10429
2020-08-13,10578
2020-08-14,10850
2020-08-15,10969
2020-08-16,11067
2020-08-17,11125
2020-08-18,11262
2020-08-19,11360
2020-08-20,11435
2020-08-21,11531
2020-08-22,11695
2020-08-23,11745
2020-08-24,11885
2020-08-25,12068
2020-08-26,12109
2020-08-27,12179
2020-08-28,12237
2020-08-29,12331
2020-08-30,12377
2020-08-31,12403
2020-09-01,12463
2020-09-02,12492
2020-09-03,12525
2020-09-04,12662
2020-09-05,12707
2020-09-06,12724
2020-09-07,12766
2020-09-08,12792
2020-09-09,12889
2020-09-10,13018
2020-09-11,13068
2020-09-12,13127
2020-09-13,13154
2020-09-14,13189
2020-09-15,13239
2020-09-16,13273
2020-09-17,13362
2020-09-18,13400
2020-09-19,13446
2020-09-20,13468
2020-09-21,13546
2020-09-22,13583
2020-09-23,13624
2020-09-24,13655
2020-09-25,13676
2020-09-26,13726
2020-09-27,13751
2020-09-28,13809
2020-09-29,13859
2020-09-30,13881
2020-10-01,13911
2020-10-02,13977
2020-10-03,14029
2020-10-04,14051
2020-10-05,14109
2020-10-06,14141
2020-10-07,14178
2020-10-08,14233
2020-10-09,14270
2020-10-10,14283
2020-10-11,14309
2020-10-12,14319
2020-10-13,14351
2020-10-14,14379
2020-10-15,14422
2020-10-16,14479
2020-10-17,14527
2020-10-18,14531
2020-10-19,14616
2020-10-20,14658
2020-10-21,14718
2020-10-22,14748
2020-10-23,14770
2020-10-24,14786
2020-10-25,14789
2020-10-26,14805
2020-10-27,14818
2020-10-28,14822
2020-10-29,14823
2020-10-30,14825
