date,cases
2020-07-11,1
2020-07-20,3
2020-07-22,6
2020-07-26,10
2020-07-27,11
2020-07-28,12
2020-07-30,13
2020-08-12,14
2020-08-13,15
2020-08-18,20
2020-08-24,21
2020-08-25,24
2020-08-26,25
2020-08-27,26
2020-08-29,27
2020-08-31,28
2020-09-01,30
2020-09-02,33
2020-09-03,34
2020-09-17,35
2020-09-18,37
2020-10-02,38
2020-10-05,39
2020-10-06,41
2020-10-08,42
2020-10-11,43
2020-10-14,46
2020-10-15,48
2020-10-16,52
2020-10-17,55
2020-10-19,58
2020-10-20,86
2020-10-21,90
2020-10-22,91
2020-10-26,93
2020-10-27,100
2020-10-28,102
2020-10-29,103
2020-10-30,107
2020-10-31,108
2020-11-01,109
2020-11-02,111
2020-11-04,114
2020-11-05,118
2020-11-06,121
2020-11-09,123
2020-11-10,124
2020-11-11,125
2020-11-12,127
2020-11-13,133
2020-11-14,142
2020-11-15,144
2020-11-16,145
2020-11-18,146
2020-11-20,148
2020-11-22,151
2020-11-23,154
2020-11-25,155
2020-11-26,157
2020-11-27,158
2020-11-29,159
