date,cases
2020-03-20,1
2020-03-21,2
2020-03-25,3
2020-03-28,4
2020-03-30,5
2020-04-02,6
2020-04-04,7
2020-04-06,8
2020-04-12,9
2020-04-14,10
2020-04-18,11
2020-04-23,12
2020-04-24,15
2020-05-01,16
2020-05-05,17
2020-05-07,18
2020-05-12,22
2020-05-13,33
2020-05-14,41
2020-05-17,44
2020-05-18,61
2020-05-19,62
2020-05-20,67
2020-05-21,75
2020-05-22,79
2020-05-23,80
2020-05-25,82
2020-05-27,83
2020-05-28,87
2020-05-29,94
2020-05-30,102
2020-05-31,106
2020-06-01,120
2020-06-02,123
2020-06-03,127
2020-06-04,129
2020-06-05,130
2020-06-06,132
2020-06-07,134
2020-06-08,136
2020-06-09,139
2020-06-10,143
2020-06-11,145
2020-06-12,147
2020-06-13,150
2020-06-14,159
2020-06-15,160
2020-06-16,166
2020-06-17,176
2020-06-18,179
2020-06-19,188
2020-06-20,195
2020-06-21,199
2020-06-22,201
2020-06-23,213
2020-06-24,224
2020-06-25,230
2020-06-26,234
2020-06-27,237
2020-06-28,243
2020-06-29,263
2020-06-30,277
2020-07-01,291
2020-07-02,308
2020-07-03,322
2020-07-04,332
2020-07-05,345
2020-07-06,366
2020-07-07,394
2020-07-08,406
2020-07-09,430
2020-07-10,449
2020-07-11,466
2020-07-12,486
2020-07-13,504
2020-07-14,532
2020-07-15,549
2020-07-16,566
2020-07-17,591
2020-07-18,605
2020-07-19,614
2020-07-20,634
2020-07-21,662
2020-07-22,687
2020-07-23,714
2020-07-24,733
2020-07-25,768
2020-07-26,779
2020-07-27,813
2020-07-28,845
2020-07-29,864
2020-07-30,910
2020-07-31,933
2020-08-01,954
2020-08-02,978
2020-08-03,1021
2020-08-04,1060
2020-08-05,1090
2020-08-06,1116
2020-08-07,1162
2020-08-08,1188
2020-08-09,1216
2020-08-10,1233
2020-08-11,1254
2020-08-12,1290
2020-08-13,1315
2020-08-14,1342
2020-08-15,1366
2020-08-16,1395
2020-08-17,1428
2020-08-18,1457
2020-08-19,1481
2020-08-20,1509
2020-08-21,1552
2020-08-22,1580
2020-08-23,1592
2020-08-24,1649
2020-08-25,1673
2020-08-26,1698
2020-08-27,1713
2020-08-28,1742
2020-08-29,1748
2020-08-30,1765
2020-08-31,1788
2020-09-01,1815
2020-09-02,1831
2020-09-03,1846
2020-09-04,1866
2020-09-05,1875
2020-09-06,1890
2020-09-07,1912
2020-09-08,1926
2020-09-09,1950
2020-09-10,1961
2020-09-11,1983
2020-09-12,1992
2020-09-13,2001
2020-09-14,2023
2020-09-15,2043
2020-09-16,2070
2020-09-17,2079
2020-09-18,2091
2020-09-19,2097
2020-09-20,2101
2020-09-21,2123
2020-09-22,2144
2020-09-23,2155
2020-09-24,2167
2020-09-25,2179
2020-09-26,2191
2020-09-27,2195
2020-09-28,2212
2020-09-29,2223
2020-09-30,2245
2020-10-01,2253
2020-10-02,2268
2020-10-03,2276
2020-10-04,2283
2020-10-05,2298
2020-10-06,2315
2020-10-07,2331
2020-10-08,2352
2020-10-09,2367
2020-10-10,2379
2020-10-11,2389
2020-10-12,2392
2020-10-13,2411
2020-10-14,2423
2020-10-15,2446
2020-10-16,2454
2020-10-17,2466
2020-10-18,2476
2020-10-19,2505
2020-10-20,2529
2020-10-21,2545
2020-10-22,2570
2020-10-23,2590
2020-10-24,2604
2020-10-25,2609
2020-10-26,2612
2020-10-27,2616
2020-10-28,2621
2020-10-29,2635
2020-10-30,2639
2020-10-31,2642
2020-11-01,2643
2020-11-02,2644
