date,cases
2020-06-23,8
2020-06-26,9
2020-07-01,10
2020-07-02,11
2020-07-05,16
2020-07-06,18
2020-07-07,19
2020-07-08,22
2020-07-09,23
2020-07-10,28
2020-07-13,34
2020-07-14,38
2020-07-15,52
2020-07-16,54
2020-07-18,55
2020-07-20,56
2020-07-27,57
2020-07-29,60
2020-07-31,62
2020-08-01,66
2020-08-02,67
2020-08-03,68
2020-08-04,70
2020-08-05,71
2020-08-06,74
2020-08-09,75
2020-08-10,76
2020-08-12,78
2020-08-13,80
2020-08-14,82
2020-08-15,83
2020-08-18,87
2020-08-19,91
2020-08-21,92
2020-08-22,94
2020-08-23,95
2020-08-24,99
2020-08-25,103
2020-08-27,104
2020-08-29,105
2020-08-30,106
2020-08-31,107
2020-09-03,108
2020-09-07,113
2020-09-08,114
2020-09-12,115
2020-09-13,116
2020-10-03,118
2020-10-05,119
2020-10-13,120
2020-10-15,121
2020-10-21,122
2020-11-01,123
2020-11-03,125
2020-11-05,126
2020-11-13,127
2020-11-27,128
2020-12-02,129
2020-12-04,131
2020-12-07,133
2020-12-09,134
2020-12-10,137
2020-12-16,138
2020-12-18,140
2020-12-19,141
2020-12-20,142
2020-12-23,149
