date,cases
2020-05-04,102
2020-05-29,93
2020-06-07,123
2020-06-14,25
2020-06-17,31
2020-06-20,46
2020-06-23,62
2020-06-26,80
2020-06-27,92
2020-06-30,96
2020-07-01,14
2020-07-04,103
2020-07-05,108
2020-07-06,122
2020-07-07,130
2020-07-09,141
2020-07-10,17
2020-07-12,21
2020-07-13,24
2020-07-17,36
2020-07-18,40
2020-07-19,42
2020-07-20,48
2020-07-21,52
2020-07-22,60
2020-07-23,63
2020-07-24,64
2020-07-25,74
2020-07-26,82
2020-07-29,94
2020-07-30,97
2020-07-31,101
2020-08-02,44
2020-08-04,104
2020-08-07,136
2020-08-08,137
2020-08-19,43
2020-08-20,49
2020-08-24,65
2020-09-02,45
2020-09-03,95
2020-09-04,107
2020-09-08,138
2020-09-14,26
2020-09-15,28
2020-10-15,27
2020-10-21,50
2020-10-26,75
