date,cases
2020-04-17,1
2020-05-03,2
2020-05-09,4
2020-05-20,6
2020-06-17,9
2020-06-24,10
2020-06-30,11
2020-07-01,12
2020-07-03,13
2020-07-05,14
2020-07-06,18
2020-07-07,21
2020-07-08,22
2020-07-09,28
2020-07-10,32
2020-07-11,38
2020-07-12,40
2020-07-13,43
2020-07-14,44
2020-07-15,56
2020-07-16,57
2020-07-17,61
2020-07-18,66
2020-07-19,67
2020-07-20,70
2020-07-21,72
2020-07-22,75
2020-07-23,79
2020-07-24,80
2020-07-25,88
2020-07-26,93
2020-07-27,96
2020-07-28,105
2020-07-29,110
2020-07-31,113
2020-08-01,114
2020-08-02,116
2020-08-03,120
2020-08-04,124
2020-08-05,126
2020-08-06,127
2020-08-07,130
2020-08-08,133
2020-08-09,136
2020-08-10,152
2020-08-11,158
2020-08-12,170
2020-08-13,176
2020-08-14,179
2020-08-15,188
2020-08-16,192
2020-08-17,199
2020-08-18,214
2020-08-19,229
2020-08-20,235
2020-08-21,262
2020-08-22,265
2020-08-23,268
2020-08-24,308
2020-08-25,316
2020-08-26,319
2020-08-27,325
2020-08-28,335
2020-08-29,338
2020-08-30,343
2020-08-31,345
2020-09-01,354
2020-09-02,363
2020-09-03,368
2020-09-04,375
2020-09-05,380
2020-09-06,384
2020-09-07,390
2020-09-08,397
2020-09-09,406
2020-09-10,414
2020-09-11,420
2020-09-12,427
2020-09-13,431
2020-09-14,443
2020-09-15,457
2020-09-16,466
2020-09-17,475
2020-09-18,481
2020-09-19,487
2020-09-20,494
2020-09-21,506
2020-09-22,520
2020-09-23,541
2020-09-24,551
2020-09-25,559
2020-09-26,571
2020-09-27,586
2020-09-28,594
2020-09-29,604
2020-09-30,616
2020-10-01,633
2020-10-02,649
2020-10-03,656
2020-10-04,659
2020-10-05,677
2020-10-06,701
2020-10-07,715
2020-10-08,725
2020-10-09,732
2020-10-10,743
2020-10-11,751
2020-10-12,756
2020-10-13,770
2020-10-14,778
2020-10-15,793
2020-10-16,801
2020-10-17,805
2020-10-18,810
2020-10-19,824
2020-10-20,837
2020-10-21,849
2020-10-22,864
2020-10-23,881
2020-10-24,893
2020-10-25,913
2020-10-26,931
2020-10-27,960
2020-10-28,970
2020-10-29,980
2020-10-30,985
2020-10-31,994
2020-11-01,997
2020-11-02,1005
2020-11-03,1015
2020-11-04,1021
2020-11-05,1036
2020-11-06,1047
2020-11-07,1049
2020-11-08,1065
2020-11-09,1077
2020-11-10,1086
2020-11-11,1091
2020-11-12,1097
2020-11-13,1110
2020-11-14,1118
2020-11-15,1127
2020-11-16,1138
2020-11-17,1149
2020-11-18,1159
2020-11-19,1165
2020-11-20,1175
2020-11-21,1181
2020-11-22,1183
2020-11-23,1201
2020-11-24,1205
2020-11-25,1214
2020-11-26,1234
2020-11-27,1244
2020-11-28,1247
2020-11-29,1248
2020-11-30,1258
2020-12-01,1265
