date,cases
2020-03-25,1
2020-03-26,4
2020-03-27,7
2020-03-30,8
2020-04-01,10
2020-04-10,13
2020-04-11,14
2020-04-12,15
2020-04-14,17
2020-04-16,18
2020-04-19,19
2020-04-20,20
2020-04-22,21
2020-04-23,26
2020-04-24,27
2020-04-27,28
2020-04-28,29
2020-04-29,30
2020-05-03,33
2020-05-04,34
2020-05-05,36
2020-05-06,37
2020-05-07,39
2020-05-09,43
2020-05-10,45
2020-05-11,50
2020-05-12,55
2020-05-13,61
2020-05-16,62
2020-05-17,67
2020-05-18,68
2020-05-19,82
2020-05-20,87
2020-05-21,90
2020-05-22,93
2020-05-23,94
2020-05-24,99
2020-05-25,112
2020-05-26,137
2020-05-27,150
2020-05-28,162
2020-05-29,180
2020-05-30,202
2020-05-31,216
2020-06-01,231
2020-06-02,234
2020-06-03,255
2020-06-04,270
2020-06-05,276
2020-06-06,284
2020-06-07,288
2020-06-08,301
2020-06-09,316
2020-06-10,321
2020-06-11,327
2020-06-12,341
2020-06-13,347
2020-06-14,349
2020-06-15,355
2020-06-16,387
2020-06-17,408
2020-06-18,432
2020-06-19,452
2020-06-20,476
2020-06-21,503
2020-06-22,524
2020-06-23,574
2020-06-24,626
2020-06-25,671
2020-06-26,706
2020-06-27,742
2020-06-28,773
2020-06-29,801
2020-06-30,844
2020-07-01,926
2020-07-02,997
2020-07-03,1099
2020-07-04,1163
2020-07-05,1196
2020-07-06,1285
2020-07-07,1378
2020-07-08,1515
2020-07-09,1758
2020-07-10,1932
2020-07-11,2074
2020-07-12,2136
2020-07-13,2269
2020-07-14,2414
2020-07-15,2544
2020-07-16,2751
2020-07-17,2962
2020-07-18,3070
2020-07-19,3135
2020-07-20,3211
2020-07-21,3328
2020-07-22,3454
2020-07-23,3627
2020-07-24,3790
2020-07-25,3934
2020-07-26,3992
2020-07-27,4170
2020-07-28,4347
2020-07-29,4527
2020-07-30,4686
2020-07-31,4834
2020-08-01,4977
2020-08-02,5046
2020-08-03,5262
2020-08-04,5431
2020-08-05,5607
2020-08-06,5758
2020-08-07,5860
2020-08-08,5963
2020-08-09,6015
2020-08-10,6154
2020-08-11,6263
2020-08-12,6372
2020-08-13,6500
2020-08-14,6621
2020-08-15,6687
2020-08-16,6728
2020-08-17,6802
2020-08-18,6954
2020-08-19,7059
2020-08-20,7170
2020-08-21,7295
2020-08-22,7375
2020-08-23,7428
2020-08-24,7556
2020-08-25,7647
2020-08-26,7706
2020-08-27,7805
2020-08-28,7880
2020-08-29,7938
2020-08-30,7965
2020-08-31,8042
2020-09-01,8143
2020-09-02,8221
2020-09-03,8277
2020-09-04,8383
2020-09-05,8453
2020-09-06,8498
2020-09-07,8601
2020-09-08,8658
2020-09-09,8730
2020-09-10,8815
2020-09-11,8893
2020-09-12,8952
2020-09-13,9012
2020-09-14,9090
2020-09-15,9142
2020-09-16,9191
2020-09-17,9247
2020-09-18,9320
2020-09-19,9352
2020-09-20,9383
2020-09-21,9467
2020-09-22,9536
2020-09-23,9596
2020-09-24,9660
2020-09-25,9727
2020-09-26,9771
2020-09-27,9827
2020-09-28,9900
2020-09-29,9976
2020-09-30,10058
2020-10-01,10143
2020-10-02,10206
2020-10-03,10238
2020-10-04,10279
2020-10-05,10357
2020-10-06,10400
2020-10-07,10443
2020-10-08,10484
2020-10-09,10555
2020-10-10,10586
2020-10-11,10609
2020-10-12,10626
2020-10-13,10699
2020-10-14,10755
2020-10-15,10814
2020-10-16,10865
2020-10-17,10912
2020-10-18,10932
2020-10-19,11043
2020-10-20,11176
2020-10-21,11270
2020-10-22,11358
2020-10-23,11462
2020-10-24,11549
2020-10-25,11625
2020-10-26,11784
2020-10-27,11908
2020-10-28,11995
2020-10-29,12114
2020-10-30,12190
2020-10-31,12248
2020-11-01,12276
2020-11-02,12332
2020-11-03,12410
2020-11-04,12455
2020-11-05,12555
2020-11-06,12624
2020-11-07,12658
2020-11-08,12710
2020-11-09,12799
2020-11-10,12911
2020-11-11,12945
2020-11-12,13000
2020-11-13,13079
2020-11-14,13138
2020-11-15,13181
2020-11-16,13226
2020-11-17,13325
2020-11-18,13435
2020-11-19,13544
2020-11-20,13670
2020-11-21,13725
2020-11-22,13758
2020-11-23,13876
2020-11-24,13943
2020-11-25,14027
2020-11-26,14140
2020-11-27,14217
2020-11-28,14251
2020-11-29,14279
2020-11-30,14373
2020-12-01,14428
2020-12-02,14515
2020-12-03,14622
2020-12-04,14732
2020-12-05,14794
2020-12-06,14872
2020-12-07,14981
2020-12-08,15062
2020-12-09,15163
2020-12-10,15297
2020-12-11,15416
2020-12-12,15517
2020-12-13,15541
2020-12-14,15670
2020-12-15,15782
2020-12-16,15887
2020-12-17,15958
2020-12-18,16008
2020-12-19,16050
2020-12-20,16088
2020-12-21,16157
2020-12-22,16182
