date,cases
2020-05-26,1
2020-07-01,2
2020-07-04,4
2020-07-05,6
2020-07-06,8
2020-07-07,14
2020-07-08,15
2020-07-10,20
2020-07-11,22
2020-07-12,23
2020-07-13,26
2020-07-14,28
2020-07-16,29
2020-07-17,35
2020-07-18,41
2020-07-19,44
2020-07-20,53
2020-07-21,54
2020-07-22,55
2020-07-23,58
2020-07-24,64
2020-07-27,65
2020-07-28,66
2020-07-29,69
2020-07-30,70
2020-07-31,71
2020-08-03,74
2020-08-04,76
2020-08-05,87
2020-08-06,88
2020-08-07,90
2020-08-08,91
2020-08-09,100
2020-08-11,102
2020-08-12,104
2020-08-13,106
2020-08-14,108
2020-08-15,110
2020-08-18,116
2020-08-19,117
2020-08-20,118
2020-08-24,129
2020-08-27,130
2020-08-28,135
2020-09-01,137
2020-09-02,141
2020-09-03,143
2020-09-04,145
2020-09-07,146
2020-09-08,147
2020-09-09,148
2020-09-10,152
2020-09-11,153
2020-09-14,154
2020-09-15,158
2020-09-17,159
2020-09-19,161
2020-09-20,162
2020-09-21,163
2020-09-22,166
2020-09-23,167
2020-09-27,168
2020-09-28,169
2020-09-30,175
2020-10-01,176
2020-10-02,177
2020-10-03,178
2020-10-07,179
2020-10-08,181
2020-10-09,182
2020-10-11,183
2020-10-12,184
2020-10-13,185
2020-10-15,186
2020-10-18,187
2020-10-19,189
2020-10-20,191
2020-10-22,192
2020-10-23,194
