date,cases
2020-04-23,113
2020-05-21,110
2020-07-03,147
2020-07-16,32
2020-07-20,108
2020-07-22,112
2020-07-23,114
2020-07-24,117
2020-07-25,126
2020-07-29,145
2020-08-03,156
2020-08-05,167
2020-08-06,173
2020-08-07,180
2020-08-10,4
2020-08-11,8
2020-08-12,18
2020-08-14,27
2020-08-16,34
2020-08-17,38
2020-08-18,39
2020-08-20,109
2020-08-21,111
2020-08-24,120
2020-08-25,128
2020-08-26,130
2020-08-27,131
2020-08-28,142
2020-08-30,159
2020-08-31,161
2020-09-01,1
2020-09-02,104
2020-09-03,158
2020-09-04,165
2020-09-05,168
2020-09-06,174
2020-09-09,183
2020-09-10,6
2020-09-11,15
2020-09-12,22
2020-09-13,24
2020-09-14,29
2020-09-16,36
2020-09-18,100
2020-09-23,116
2020-09-24,121
2020-09-25,129
2020-09-28,143
2020-09-29,146
2020-09-30,160
2020-10-06,170
2020-10-07,176
2020-10-12,16
2020-10-13,23
2020-10-15,30
2020-10-16,31
2020-10-17,37
2020-10-19,101
2020-10-20,106
