date,cases
2020-07-07,1
2020-07-26,3
2020-07-28,5
2020-08-01,6
2020-08-04,11
2020-08-05,12
2020-08-06,16
2020-08-13,17
2020-08-29,18
2020-09-01,19
2020-09-08,21
2020-09-11,26
2020-09-12,30
2020-09-13,50
2020-09-14,51
2020-09-15,53
2020-09-17,57
2020-09-18,60
2020-09-21,62
2020-09-22,65
2020-09-23,66
2020-09-25,81
2020-09-26,84
2020-09-27,87
2020-09-28,94
2020-09-29,97
2020-09-30,99
2020-10-02,100
2020-10-06,101
2020-10-07,102
2020-10-08,104
2020-10-09,114
2020-10-10,118
2020-10-11,119
2020-10-13,121
2020-10-16,123
2020-10-17,125
2020-10-19,126
2020-10-22,128
2020-10-24,129
2020-10-27,131
2020-10-29,133
2020-10-31,134
2020-11-01,136
2020-11-10,138
2020-11-11,139
2020-11-12,140
2020-11-14,141
2020-11-18,142
2020-11-26,143
2020-11-27,144
2020-12-01,145
2020-12-04,146
2020-12-07,148
2020-12-08,149
2020-12-11,150
2020-12-12,151
2020-12-14,154
2020-12-15,157
2020-12-16,159
2020-12-17,162
2020-12-20,166
2020-12-21,167
2020-12-22,169
2020-12-23,170
2020-12-24,172
2020-12-31,173
2021-01-03,174
2021-01-04,177
