date,cases
2020-03-15,2
2020-03-16,5
2020-03-17,6
2020-03-20,8
2020-03-21,9
2020-03-22,12
2020-03-24,14
2020-03-25,16
2020-03-26,18
2020-03-28,28
2020-03-30,29
2020-03-31,31
2020-04-05,32
2020-04-06,33
2020-04-07,35
2020-04-10,36
2020-04-11,39
2020-04-12,41
2020-04-13,43
2020-04-14,77
2020-04-15,90
2020-04-16,91
2020-04-17,97
2020-04-18,106
2020-04-19,119
2020-04-20,124
2020-04-21,128
2020-04-24,129
2020-04-25,134
2020-04-27,136
2020-05-05,137
2020-05-06,139
2020-05-08,140
2020-05-09,156
2020-05-11,158
2020-05-12,159
2020-05-13,160
2020-05-16,161
2020-05-17,162
2020-05-18,163
2020-05-20,164
2020-05-21,168
2020-05-24,171
2020-05-25,172
2020-05-26,173
2020-05-31,175
2020-06-01,177
2020-06-03,180
2020-06-04,181
2020-06-05,185
2020-06-06,186
2020-06-08,188
2020-06-09,191
2020-06-10,197
2020-06-11,201
2020-06-12,205
2020-06-13,207
2020-06-14,209
2020-06-15,214
2020-06-16,229
2020-06-17,237
2020-06-18,251
2020-06-19,254
2020-06-20,261
2020-06-21,263
2020-06-22,264
2020-06-23,270
2020-06-24,281
2020-06-25,290
2020-06-26,304
2020-06-27,307
2020-06-28,315
2020-06-29,322
2020-06-30,327
2020-07-01,340
2020-07-02,354
2020-07-03,364
2020-07-04,379
2020-07-05,396
2020-07-06,428
2020-07-07,448
2020-07-08,469
2020-07-09,499
2020-07-10,513
2020-07-11,525
2020-07-12,550
2020-07-13,572
2020-07-14,604
2020-07-15,615
2020-07-16,663
2020-07-17,709
2020-07-18,760
2020-07-19,780
2020-07-20,835
2020-07-21,863
2020-07-22,911
2020-07-23,963
2020-07-24,1035
2020-07-25,1128
2020-07-26,1190
2020-07-27,1273
2020-07-28,1344
2020-07-29,1506
2020-07-30,1592
2020-07-31,1653
2020-08-01,1702
2020-08-02,1730
2020-08-03,1834
2020-08-04,1965
2020-08-05,2035
2020-08-06,2201
2020-08-07,2273
2020-08-08,2348
2020-08-09,2413
2020-08-10,2479
2020-08-11,2593
2020-08-12,2684
2020-08-13,2821
2020-08-14,2936
2020-08-15,3131
2020-08-16,3183
2020-08-17,3268
2020-08-18,3372
2020-08-19,3508
2020-08-20,3708
2020-08-21,3818
2020-08-22,3911
2020-08-23,3983
2020-08-24,4171
2020-08-25,4289
2020-08-26,4382
2020-08-27,4483
2020-08-28,4571
2020-08-29,4691
2020-08-30,4772
2020-08-31,4901
2020-09-01,5029
2020-09-02,5103
2020-09-03,5207
2020-09-04,5388
2020-09-05,5525
2020-09-06,5643
2020-09-07,5827
2020-09-08,5954
2020-09-09,6067
2020-09-10,6187
2020-09-11,6309
2020-09-12,6405
2020-09-13,6546
2020-09-14,6710
2020-09-15,6825
2020-09-16,6882
2020-09-17,6995
2020-09-18,7112
2020-09-19,7220
2020-09-20,7342
2020-09-21,7492
2020-09-22,7646
2020-09-23,7778
2020-09-24,7847
2020-09-25,7939
2020-09-26,8080
2020-09-27,8162
2020-09-28,8272
2020-09-29,8398
2020-09-30,8523
2020-10-01,8577
2020-10-02,8721
2020-10-03,8858
2020-10-04,8948
2020-10-05,9129
2020-10-06,9270
2020-10-07,9422
2020-10-08,9555
2020-10-09,9653
2020-10-10,9741
2020-10-11,9811
2020-10-12,9913
2020-10-13,10029
2020-10-14,10125
2020-10-15,10295
2020-10-16,10411
2020-10-17,10519
2020-10-18,10635
2020-10-19,10829
2020-10-20,11070
2020-10-21,11246
2020-10-22,11418
2020-10-23,11623
2020-10-24,11785
2020-10-25,11851
2020-10-26,11998
2020-10-27,12168
2020-10-28,12278
2020-10-29,12434
2020-10-30,12556
2020-10-31,12662
2020-11-01,12722
2020-11-02,12842
2020-11-03,12972
2020-11-04,13100
2020-11-05,13232
2020-11-06,13352
2020-11-07,13442
2020-11-08,13531
2020-11-09,13707
2020-11-10,13810
2020-11-11,13899
2020-11-12,14036
2020-11-13,14195
2020-11-14,14298
2020-11-15,14373
2020-11-16,14475
2020-11-17,14644
2020-11-18,14755
2020-11-19,14970
2020-11-20,15175
2020-11-21,15266
2020-11-22,15347
2020-11-23,15512
2020-11-24,15645
2020-11-25,15784
2020-11-26,16069
2020-11-27,16181
2020-11-28,16280
2020-11-29,16356
2020-11-30,16492
2020-12-01,16601
2020-12-02,16776
2020-12-03,16981
2020-12-04,17193
2020-12-05,17396
2020-12-06,17546
2020-12-07,17827
2020-12-08,18005
2020-12-09,18248
2020-12-10,18646
2020-12-11,18995
2020-12-12,19239
2020-12-13,19412
2020-12-14,19744
2020-12-15,20095
2020-12-16,20357
2020-12-17,20644
2020-12-18,20839
2020-12-19,21113
2020-12-20,21274
2020-12-21,21553
2020-12-22,21885
2020-12-23,22164
2020-12-24,22375
2020-12-25,22451
2020-12-26,22569
2020-12-27,22635
2020-12-28,22909
2020-12-29,23136
2020-12-30,23276
2020-12-31,23386
2021-01-01,23418
2021-01-02,23486
2021-01-03,23509
2021-01-04,23528
