date,cases
2020-04-10,1
2020-04-16,2
2020-04-19,3
2020-05-19,4
2020-05-23,5
2020-05-24,9
2020-05-25,10
2020-05-26,12
2020-06-06,13
2020-06-07,14
2020-06-08,16
2020-06-09,20
2020-06-11,21
2020-06-12,22
2020-06-13,25
2020-06-14,26
2020-06-16,27
2020-06-17,31
2020-06-18,33
2020-06-19,35
2020-06-20,36
2020-06-23,39
2020-06-24,40
2020-06-25,42
2020-06-26,48
2020-06-27,49
2020-06-28,55
2020-06-29,58
2020-06-30,60
2020-07-01,68
2020-07-02,73
2020-07-03,76
2020-07-05,79
2020-07-06,88
2020-07-07,96
2020-07-08,102
2020-07-09,109
2020-07-10,125
2020-07-11,126
2020-07-12,128
2020-07-13,132
2020-07-14,138
2020-07-15,146
2020-07-16,154
2020-07-17,177
2020-07-18,185
2020-07-19,187
2020-07-20,199
2020-07-21,208
2020-07-22,232
2020-07-23,250
2020-07-24,268
2020-07-25,279
2020-07-26,284
2020-07-27,313
2020-07-28,343
2020-07-29,370
2020-07-30,400
2020-07-31,435
2020-08-01,458
2020-08-02,477
2020-08-03,507
2020-08-04,536
2020-08-05,565
2020-08-06,608
2020-08-07,640
2020-08-08,683
2020-08-09,700
2020-08-10,742
2020-08-11,765
2020-08-12,794
2020-08-13,835
2020-08-14,871
2020-08-15,899
2020-08-16,939
2020-08-17,955
2020-08-18,982
2020-08-19,1011
2020-08-20,1056
2020-08-21,1134
2020-08-22,1165
2020-08-23,1180
2020-08-24,1225
2020-08-25,1265
2020-08-26,1288
2020-08-27,1307
2020-08-28,1335
2020-08-29,1357
2020-08-30,1367
2020-08-31,1400
2020-09-01,1438
2020-09-02,1450
2020-09-03,1470
2020-09-04,1493
2020-09-05,1518
2020-09-06,1533
2020-09-07,1563
2020-09-08,1592
2020-09-09,1619
2020-09-10,1651
2020-09-11,1673
2020-09-12,1694
2020-09-13,1701
2020-09-14,1735
2020-09-15,1763
2020-09-16,1781
2020-09-17,1819
2020-09-18,1848
2020-09-19,1870
2020-09-20,1885
2020-09-21,1938
2020-09-22,1986
2020-09-23,2025
2020-09-24,2061
2020-09-25,2086
2020-09-26,2109
2020-09-27,2120
2020-09-28,2149
2020-09-29,2185
2020-09-30,2217
2020-10-01,2251
2020-10-02,2278
2020-10-03,2303
2020-10-04,2316
2020-10-05,2354
2020-10-06,2385
2020-10-07,2413
2020-10-08,2453
2020-10-09,2484
2020-10-10,2506
2020-10-11,2520
2020-10-12,2524
2020-10-13,2553
2020-10-14,2594
2020-10-15,2627
2020-10-16,2657
2020-10-17,2671
2020-10-18,2689
2020-10-19,2729
2020-10-20,2765
2020-10-21,2788
2020-10-22,2818
2020-10-23,2852
2020-10-24,2886
2020-10-25,2914
2020-10-26,2934
2020-10-27,2955
2020-10-28,2969
2020-10-29,2984
2020-10-30,2996
2020-10-31,3007
2020-11-01,3018
2020-11-02,3024
2020-11-03,3034
2020-11-04,3035
2020-11-05,3036
