date,cases
2020-06-08,1
2020-06-22,2
2020-07-14,3
2020-07-16,4
2020-07-19,8
2020-07-22,11
2020-07-23,13
2020-07-25,15
2020-07-28,23
2020-07-29,46
2020-08-02,48
2020-08-03,49
2020-08-04,50
2020-08-05,55
2020-08-06,57
2020-08-07,63
2020-08-09,65
2020-08-13,66
2020-08-14,68
2020-08-17,70
2020-08-21,71
2020-09-03,72
2020-09-07,73
2020-09-08,74
2020-09-14,77
2020-09-17,78
2020-09-22,79
2020-09-25,81
2020-09-26,82
2020-09-27,83
2020-10-03,84
2020-10-05,86
2020-10-08,87
2020-10-11,88
2020-10-13,89
2020-10-17,90
2020-10-22,91
