date,cases
2020-06-23,1
2020-06-24,2
2020-07-03,5
2020-07-06,8
2020-07-07,9
2020-07-10,10
2020-07-11,12
2020-07-12,13
2020-07-13,15
2020-07-17,16
2020-07-18,17
2020-07-20,18
2020-07-26,23
2020-07-27,24
2020-07-31,25
2020-08-01,27
2020-08-03,28
2020-08-04,29
2020-08-05,31
2020-08-06,37
2020-08-07,38
2020-08-11,39
2020-08-12,41
2020-08-13,42
2020-08-15,46
2020-08-16,49
2020-08-17,50
2020-08-21,52
2020-08-22,55
2020-08-30,58
2020-08-31,59
2020-09-04,61
2020-09-05,62
2020-09-08,63
2020-09-11,64
2020-09-16,66
2020-09-18,67
2020-09-23,71
2020-09-26,72
2020-09-30,73
2020-10-02,74
2020-10-04,75
2020-10-11,76
2020-10-13,77
2020-10-14,79
2020-10-16,80
2020-10-17,82
2020-10-18,83
2020-10-19,86
2020-10-20,87
2020-10-21,89
2020-10-25,92
2020-10-27,94
2020-10-28,95
2020-10-30,96
2020-10-31,99
2020-11-01,101
2020-11-03,106
2020-11-06,107
2020-11-07,112
2020-11-08,122
2020-11-09,129
2020-11-10,132
2020-11-12,136
2020-11-13,141
2020-11-14,142
2020-11-15,144
2020-11-16,147
2020-11-17,149
2020-11-18,153
2020-11-19,200
2020-11-20,208
2020-11-21,214
2020-11-22,230
2020-11-24,233
2020-11-25,237
2020-11-26,242
2020-11-27,268
2020-11-28,270
2020-11-30,271
2020-12-01,279
2020-12-02,328
2020-12-03,343
2020-12-04,378
2020-12-05,380
2020-12-06,384
2020-12-07,388
2020-12-08,389
2020-12-09,405
2020-12-10,407
2020-12-12,423
2020-12-13,427
2020-12-14,430
2020-12-15,433
2020-12-16,434
2020-12-17,465
2020-12-18,466
2020-12-22,476
