date,cases
2020-03-14,1373
2020-03-17,2278
2020-03-20,3468
2020-03-21,3805
2020-03-22,4203
2020-03-23,4614
2020-03-24,4817
2020-03-25,5209
2020-03-30,7053
2020-04-04,7534
2020-04-22,4208
2020-04-29,6544
2020-04-30,7057
2020-05-05,7927
2020-05-07,8392
2020-05-10,277
2020-05-12,833
2020-05-16,2044
2020-05-17,2279
2020-05-18,2555
2020-05-19,2873
2020-05-20,3469
2020-05-21,3806
2020-05-22,4211
2020-05-27,5843
2020-05-28,6191
2020-05-29,6547
2020-05-30,7062
2020-05-31,7300
2020-06-01,96
2020-06-02,3239
2020-06-03,6843
2020-06-04,7535
2020-06-05,7929
2020-06-06,8179
2020-06-07,8393
2020-06-08,8661
2020-06-09,8940
2020-06-10,281
2020-06-11,587
2020-06-12,838
2020-06-13,1095
2020-06-14,1376
2020-06-15,1720
2020-06-16,2056
2020-06-17,2284
2020-06-18,2558
2020-06-19,2877
2020-06-20,3485
2020-06-21,3808
2020-06-22,4219
2020-06-23,4624
2020-06-24,4831
2020-06-25,5239
2020-06-26,5623
2020-06-27,5851
2020-06-28,6196
2020-06-29,6558
2020-06-30,7088
2020-07-01,111
2020-07-02,3263
2020-07-03,6857
2020-07-04,7550
2020-07-05,7943
2020-07-06,8200
2020-07-07,8417
2020-07-08,8686
2020-07-09,8970
2020-07-10,335
2020-07-11,599
2020-07-12,851
2020-07-13,1147
2020-07-14,1410
2020-07-15,1753
2020-07-16,2094
2020-07-17,2332
2020-07-18,2588
2020-07-19,2882
2020-07-20,3508
2020-07-21,3849
2020-07-22,4279
2020-07-23,4654
2020-07-24,4888
2020-07-25,5259
2020-07-26,5629
2020-07-27,5877
2020-07-28,6259
2020-07-29,6597
2020-07-30,7150
2020-07-31,7363
2020-08-01,151
2020-08-02,3278
2020-08-03,6934
2020-08-04,7650
2020-08-05,7994
2020-08-06,8270
2020-08-07,8450
2020-08-08,8728
2020-08-09,9003
2020-08-10,395
2020-08-11,709
2020-08-12,917
2020-08-13,1240
2020-08-14,1547
2020-08-15,1789
2020-08-16,2123
2020-08-17,2425
2020-08-18,2671
2020-08-19,2990
2020-08-20,3620
2020-08-21,4013
2020-08-22,4389
2020-08-23,4694
2020-08-24,5107
2020-08-25,5435
2020-08-26,5717
2020-08-27,6060
2020-08-28,6393
2020-08-29,6654
2020-08-30,7237
2020-08-31,7485
2020-09-01,225
2020-09-02,3328
2020-09-03,7040
2020-09-04,7842
2020-09-05,8055
2020-09-06,8308
2020-09-07,8553
2020-09-08,8817
2020-09-09,9073
2020-09-10,551
2020-09-11,790
2020-09-12,1009
2020-09-13,1305
2020-09-14,1655
2020-09-15,1894
2020-09-16,2223
2020-09-17,2518
2020-09-18,2749
2020-09-19,3089
2020-09-20,3710
2020-09-21,4112
2020-09-22,4534
2020-09-23,4784
2020-09-24,5196
2020-09-25,5553
2020-09-26,5783
2020-09-27,6113
2020-09-28,6505
2020-09-29,6771
2020-09-30,7299
2020-10-01,94
2020-10-02,3232
2020-10-03,6842
2020-10-04,7533
2020-10-05,7926
2020-10-06,8178
2020-10-07,8391
2020-10-08,8660
2020-10-09,8939
2020-10-10,276
2020-10-11,582
2020-10-12,832
2020-10-13,1090
2020-10-14,1372
2020-10-15,1716
2020-10-16,2041
2020-10-17,2277
2020-10-18,2553
2020-10-19,2872
2020-10-20,3467
2020-10-21,3803
2020-10-22,4201
2020-10-23,4613
2020-10-24,4816
2020-10-25,5208
2020-10-26,5608
2020-10-27,5842
2020-10-28,6190
2020-10-29,6542
2020-10-30,7051
