date,cases
2020-05-20,399
2020-06-17,276
2020-08-04,776
2020-08-05,848
2020-08-11,83
2020-08-12,111
2020-08-13,152
2020-08-14,164
2020-08-15,177
2020-08-17,277
2020-08-18,316
2020-08-19,341
2020-08-20,412
2020-08-21,426
2020-08-22,477
2020-08-23,507
2020-08-24,514
2020-08-25,609
2020-08-26,621
2020-08-27,658
2020-08-28,680
2020-08-29,690
2020-08-30,763
2020-08-31,774
2020-09-01,40
2020-09-02,370
2020-09-03,759
2020-09-04,839
2020-09-05,879
2020-09-06,920
2020-09-07,990
2020-09-08,1003
2020-09-09,1055
2020-09-10,78
2020-09-11,107
2020-09-12,143
2020-09-13,156
2020-09-14,174
2020-09-15,226
2020-09-16,271
2020-09-17,291
2020-09-18,319
2020-09-19,352
2020-09-20,414
2020-09-21,462
2020-09-22,489
2020-09-23,511
2020-09-24,551
2020-09-25,614
2020-09-26,625
2020-09-27,663
2020-09-28,685
2020-09-29,693
2020-09-30,769
2020-10-01,5
2020-10-02,353
2020-10-03,694
2020-10-05,847
2020-10-06,905
2020-10-08,993
2020-10-09,1004
2020-10-11,79
2020-10-12,109
2020-10-13,151
2020-10-14,162
2020-10-15,175
2020-10-16,229
2020-10-17,274
2020-10-18,293
2020-10-19,321
2020-10-20,393
2020-10-21,416
2020-10-22,466
2020-10-23,492
2020-10-27,626
