date,cases
2020-07-01,2
2020-07-06,7
2020-07-13,8
2020-07-16,9
2020-07-17,11
2020-07-20,13
2020-07-23,14
2020-07-24,15
2020-07-28,20
2020-07-29,24
2020-07-31,28
2020-08-02,30
2020-08-03,46
2020-08-05,51
2020-08-06,54
2020-08-09,59
2020-08-12,77
2020-08-13,82
2020-08-14,89
2020-08-15,92
2020-08-17,93
2020-08-19,95
2020-08-20,119
2020-08-21,125
2020-08-25,130
2020-08-26,138
2020-08-27,142
2020-08-29,144
2020-08-30,145
2020-08-31,147
2020-09-01,161
2020-09-02,162
2020-09-03,182
2020-09-04,184
2020-09-05,185
2020-09-07,194
2020-09-08,195
2020-09-09,200
2020-09-10,202
2020-09-11,204
2020-09-13,207
2020-09-15,212
2020-09-16,227
2020-09-17,233
2020-09-18,251
2020-09-19,254
2020-09-21,260
2020-09-22,263
2020-09-23,267
2020-09-24,275
2020-09-25,281
2020-09-28,284
2020-09-29,290
2020-09-30,302
2020-10-01,305
2020-10-02,310
2020-10-03,315
2020-10-05,317
2020-10-06,325
2020-10-07,340
2020-10-08,351
2020-10-09,364
2020-10-10,388
2020-10-11,394
2020-10-13,397
2020-10-14,405
2020-10-15,408
2020-10-16,412
2020-10-17,415
2020-10-18,419
2020-10-19,423
2020-10-20,434
2020-10-21,437
2020-10-22,438
2020-10-23,444
2020-10-24,447
2020-10-25,448
2020-10-26,449
2020-10-27,450
2020-10-28,451
2020-10-29,454
2020-10-30,457
2020-10-31,458
2020-11-01,460
2020-11-02,461
2020-11-03,463
2020-11-04,466
2020-11-05,467
2020-11-06,471
2020-11-09,473
2020-11-11,478
2020-11-13,479
2020-11-14,481
2020-11-15,483
2020-11-19,485
2020-11-20,488
2020-11-23,489
2020-11-24,490
2020-11-25,492
2020-11-26,494
