date,cases
2020-07-21,1
2020-07-29,2
2020-07-30,5
2020-08-08,9
2020-08-09,10
2020-08-10,12
2020-08-11,14
2020-08-12,15
2020-08-14,19
2020-08-18,21
2020-08-20,22
2020-08-21,23
2020-08-22,25
2020-08-26,26
2020-08-27,27
2020-08-28,28
2020-08-29,29
2020-09-05,30
2020-09-07,31
2020-09-08,32
2020-09-09,33
2020-09-11,34
2020-09-14,38
2020-09-17,39
2020-09-18,41
2020-09-20,43
2020-09-24,47
2020-09-25,65
2020-09-26,67
2020-09-29,71
2020-09-30,72
2020-10-01,73
2020-10-02,74
2020-10-04,76
2020-10-05,77
2020-10-07,78
2020-10-08,81
2020-10-09,82
2020-10-11,83
2020-10-13,84
2020-10-14,86
2020-10-15,87
2020-10-16,88
2020-10-19,89
2020-10-20,92
2020-10-21,99
2020-10-22,100
2020-10-24,101
2020-10-26,103
2020-10-27,107
2020-10-28,108
2020-10-30,109
