date,cases
2020-08-07,1
2020-08-10,2
2020-08-13,3
2020-08-19,5
2020-08-21,6
2020-08-22,7
2020-08-28,9
2020-08-29,10
2020-08-30,11
2020-08-31,12
2020-09-14,13
2020-10-09,15
2020-10-25,16
2020-10-26,17
2020-10-27,20
2020-10-30,22
2020-11-09,24
2020-11-26,25
2020-12-02,26
2020-12-06,27
2020-12-08,30
2020-12-09,31
2020-12-10,32
2020-12-11,35
2020-12-13,36
2020-12-14,41
2020-12-15,45
2020-12-16,47
2020-12-17,51
2020-12-18,56
2020-12-19,58
2020-12-21,62
2020-12-22,63
2020-12-23,64
2020-12-25,65
2020-12-26,66
2020-12-28,68
2020-12-29,69
2020-12-30,71
2020-12-31,73
