date,cases
2020-04-07,1
2020-04-12,6
2020-04-14,9
2020-04-17,10
2020-04-18,17
2020-04-19,26
2020-04-20,31
2020-04-22,33
2020-04-25,34
2020-04-28,36
2020-04-29,42
2020-04-30,44
2020-05-01,46
2020-05-02,47
2020-05-03,48
2020-05-05,50
2020-05-06,56
2020-05-07,59
2020-05-08,65
2020-05-09,66
2020-05-11,68
2020-05-12,70
2020-05-13,78
2020-05-14,85
2020-05-15,87
2020-05-16,90
2020-05-17,91
2020-05-18,113
2020-05-19,123
2020-05-20,137
2020-05-21,149
2020-05-22,171
2020-05-23,175
2020-05-24,189
2020-05-25,195
2020-05-26,204
2020-05-27,210
2020-05-28,260
2020-05-29,279
2020-05-30,311
2020-05-31,318
2020-06-01,360
2020-06-02,389
2020-06-03,439
2020-06-04,460
2020-06-05,483
2020-06-06,572
2020-06-07,584
2020-06-08,603
2020-06-09,636
2020-06-10,670
2020-06-11,704
2020-06-12,768
2020-06-13,823
2020-06-14,833
2020-06-15,847
2020-06-16,890
2020-06-17,931
2020-06-18,988
2020-06-19,1014
2020-06-20,1062
2020-06-21,1090
2020-06-22,1143
2020-06-23,1225
2020-06-24,1298
2020-06-25,1354
2020-06-26,1435
2020-06-27,1467
2020-06-28,1505
2020-06-29,1519
2020-06-30,1582
2020-07-01,1612
2020-07-02,1644
2020-07-03,1689
2020-07-04,1708
2020-07-05,1734
2020-07-06,1785
2020-07-07,1831
2020-07-08,1869
2020-07-09,1891
2020-07-10,1909
2020-07-11,1926
2020-07-12,1954
2020-07-13,1976
2020-07-14,1995
2020-07-15,2015
2020-07-16,2033
2020-07-17,2048
2020-07-18,2062
2020-07-19,2069
2020-07-20,2081
2020-07-21,2104
2020-07-22,2112
2020-07-23,2129
2020-07-24,2152
2020-07-25,2165
2020-07-26,2180
2020-07-27,2199
2020-07-28,2217
2020-07-29,2237
2020-07-30,2251
2020-07-31,2274
2020-08-01,2288
2020-08-02,2293
2020-08-03,2313
2020-08-04,2321
2020-08-05,2341
2020-08-06,2353
2020-08-07,2374
2020-08-08,2393
2020-08-09,2403
2020-08-10,2413
2020-08-11,2442
2020-08-12,2444
2020-08-13,2450
2020-08-14,2455
2020-08-15,2461
2020-08-16,2464
2020-08-17,2473
2020-08-18,2481
2020-08-19,2482
2020-08-20,2486
2020-08-21,2491
2020-08-22,2497
2020-08-23,2500
2020-08-24,2509
2020-08-25,2514
2020-08-26,2517
2020-08-27,2522
2020-08-28,2544
2020-08-29,2547
2020-08-31,2551
2020-09-01,2555
2020-09-02,2556
2020-09-03,2559
2020-09-04,2565
2020-09-05,2573
2020-09-06,2576
2020-09-07,2578
2020-09-08,2580
2020-09-09,2588
2020-09-10,2590
2020-09-11,2600
2020-09-12,2605
2020-09-13,2614
2020-09-14,2617
2020-09-15,2625
2020-09-16,2630
2020-09-18,2631
2020-09-19,2634
2020-09-20,2638
2020-09-21,2639
2020-09-22,2648
2020-09-23,2657
2020-09-24,2658
2020-09-25,2664
2020-09-26,2666
2020-09-27,2669
2020-09-28,2670
2020-09-29,2676
2020-09-30,2682
2020-10-01,2683
2020-10-02,2689
2020-10-03,2691
2020-10-04,2694
2020-10-05,2705
2020-10-06,2708
2020-10-07,2710
2020-10-08,2714
2020-10-09,2715
2020-10-10,2717
2020-10-11,2722
2020-10-12,2726
2020-10-13,2729
2020-10-14,2732
2020-10-15,2733
2020-10-16,2737
2020-10-17,2742
2020-10-18,2744
2020-10-19,2748
2020-10-20,2751
2020-10-21,2756
2020-10-22,2764
2020-10-23,2773
2020-10-24,2774
2020-10-25,2788
2020-10-26,2794
2020-10-27,2796
2020-10-28,2801
2020-10-29,2805
2020-10-30,2814
2020-10-31,2817
2020-11-01,2827
2020-11-02,2833
2020-11-03,2836
2020-11-04,2840
2020-11-05,2845
2020-11-06,2847
2020-11-07,2850
2020-11-09,2856
2020-11-10,2861
2020-11-11,2864
2020-11-12,2866
2020-11-13,2870
2020-11-18,2875
2020-11-19,2876
2020-11-21,2878
