date,cases
2020-07-17,30
2020-07-20,48
2020-07-23,59
2020-07-25,67
2020-07-31,78
2020-08-05,82
2020-08-08,93
2020-08-11,8
2020-08-12,14
2020-08-18,36
2020-08-19,39
2020-08-20,49
2020-08-24,65
2020-09-07,89
2020-09-10,1
2020-09-13,18
2020-09-14,25
2020-09-15,27
2020-09-17,31
2020-09-19,40
2020-09-20,50
2020-09-21,54
2020-09-22,56
2020-09-23,61
2020-09-24,66
2020-09-25,70
2020-09-28,72
2020-09-29,73
2020-09-30,76
2020-10-02,42
2020-10-03,74
2020-10-04,79
2020-10-05,81
2020-10-07,83
2020-10-08,92
2020-10-09,95
2020-10-11,7
2020-10-12,13
2020-10-13,16
2020-10-14,20
2020-10-19,37
2020-10-20,46
2020-10-21,53
2020-10-23,57
