date,cases
2020-05-25,9
2020-05-29,10
2020-06-09,11
2020-06-18,12
2020-06-30,14
2020-07-08,16
2020-07-09,17
2020-07-10,19
2020-07-12,20
2020-07-14,25
2020-07-15,27
2020-07-16,28
2020-07-21,29
2020-07-22,39
2020-07-23,40
2020-07-24,49
2020-07-26,54
2020-07-27,56
2020-07-29,61
2020-07-30,75
2020-07-31,78
2020-08-01,80
2020-08-02,81
2020-08-05,82
2020-08-06,83
2020-08-07,84
2020-08-08,85
2020-08-10,86
2020-08-11,93
2020-08-12,95
2020-08-13,109
2020-08-14,113
2020-08-16,116
2020-08-17,120
2020-08-18,127
2020-08-19,131
2020-08-20,133
2020-08-21,134
2020-08-24,135
2020-08-25,139
2020-08-26,141
2020-08-27,144
2020-08-29,147
2020-08-30,148
2020-08-31,149
2020-09-01,150
2020-09-02,151
2020-09-03,153
2020-09-04,154
2020-09-07,156
2020-09-08,157
2020-09-10,162
2020-09-11,163
2020-09-12,165
2020-09-14,166
2020-09-15,169
2020-09-16,171
2020-09-17,173
2020-09-21,175
2020-09-24,177
2020-09-28,178
2020-09-30,179
2020-10-08,180
2020-10-09,183
2020-10-10,184
2020-10-15,188
2020-10-16,190
2020-10-17,191
2020-10-18,192
2020-10-19,195
2020-10-20,198
2020-10-22,200
2020-10-23,201
2020-10-26,203
2020-10-27,204
2020-10-28,205
2020-10-29,206
2020-11-01,207
2020-11-02,208
2020-11-03,211
2020-11-04,215
2020-11-06,218
2020-11-07,219
2020-11-08,220
2020-11-09,223
2020-11-11,225
2020-11-12,226
2020-11-14,230
2020-11-16,231
2020-11-17,234
2020-11-18,235
2020-11-20,239
2020-11-22,242
2020-11-23,244
2020-11-24,245
2020-11-25,246
2020-11-26,249
2020-11-28,252
2020-11-29,253
2020-11-30,255
2020-12-01,257
2020-12-02,260
2020-12-03,269
2020-12-04,273
2020-12-05,275
2020-12-07,276
2020-12-08,277
2020-12-09,281
2020-12-10,287
2020-12-11,291
2020-12-12,292
2020-12-13,293
2020-12-14,296
2020-12-15,299
2020-12-16,302
2020-12-17,303
2020-12-18,310
2020-12-19,312
2020-12-20,313
2020-12-21,318
2020-12-22,321
2020-12-25,322
