date,cases
2020-07-06,106
2020-07-07,169
2020-07-09,174
2020-07-13,8
2020-07-22,66
2020-07-24,73
2020-08-10,1
2020-08-18,19
2020-08-19,34
2020-08-26,79
2020-08-27,80
2020-08-28,84
2020-08-29,95
2020-09-02,54
2020-09-05,104
2020-09-06,168
2020-09-07,172
2020-09-08,173
2020-09-11,5
2020-09-12,7
2020-09-13,13
2020-09-16,15
2020-09-18,28
2020-09-19,53
2020-09-20,58
2020-09-21,64
2020-09-23,70
2020-09-28,93
2020-10-05,96
2020-10-12,6
2020-10-14,14
2020-10-17,17
2020-10-19,33
2020-10-20,57
2020-10-21,62
2020-10-22,65
2020-10-23,68
2020-10-25,76
2020-10-26,78
2020-10-28,81
