date,cases
2020-03-25,1
2020-04-20,2
2020-04-25,5
2020-04-26,6
2020-04-30,7
2020-05-07,8
2020-05-10,9
2020-05-11,10
2020-05-19,11
2020-05-20,12
2020-05-22,13
2020-05-26,14
2020-05-27,15
2020-06-03,16
2020-06-07,17
2020-06-08,18
2020-06-09,19
2020-06-10,20
2020-06-11,21
2020-06-12,24
2020-06-14,25
2020-06-15,26
2020-06-16,28
2020-06-17,36
2020-06-18,45
2020-06-19,49
2020-06-20,56
2020-06-21,59
2020-06-22,70
2020-06-23,90
2020-06-24,105
2020-06-25,119
2020-06-26,143
2020-06-27,151
2020-06-28,156
2020-06-29,170
2020-06-30,186
2020-07-01,208
2020-07-02,240
2020-07-03,270
2020-07-04,280
2020-07-05,289
2020-07-06,345
2020-07-07,372
2020-07-08,399
2020-07-09,434
2020-07-10,450
2020-07-11,475
2020-07-12,494
2020-07-13,530
2020-07-14,578
2020-07-15,593
2020-07-16,618
2020-07-17,641
2020-07-18,659
2020-07-19,672
2020-07-20,708
2020-07-21,747
2020-07-22,786
2020-07-23,816
2020-07-24,839
2020-07-25,865
2020-07-26,901
2020-07-27,917
2020-07-28,977
2020-07-29,1031
2020-07-30,1107
2020-07-31,1159
2020-08-01,1195
2020-08-02,1210
2020-08-03,1282
2020-08-04,1326
2020-08-05,1372
2020-08-06,1460
2020-08-07,1505
2020-08-08,1531
2020-08-09,1552
2020-08-10,1616
2020-08-11,1660
2020-08-12,1694
2020-08-13,1761
2020-08-14,1800
2020-08-15,1825
2020-08-16,1872
2020-08-17,1902
2020-08-18,1940
2020-08-19,1984
2020-08-20,2020
2020-08-21,2057
2020-08-22,2098
2020-08-23,2110
2020-08-24,2175
2020-08-25,2201
2020-08-26,2228
2020-08-27,2279
2020-08-28,2319
2020-08-29,2358
2020-08-30,2383
2020-08-31,2412
2020-09-01,2437
2020-09-02,2478
2020-09-03,2512
2020-09-04,2546
2020-09-05,2587
2020-09-06,2601
2020-09-07,2640
2020-09-08,2701
2020-09-09,2730
2020-09-10,2743
2020-09-11,2789
2020-09-12,2810
2020-09-13,2844
2020-09-14,2881
2020-09-15,2902
2020-09-16,2911
2020-09-17,2932
2020-09-18,2953
2020-09-19,2968
2020-09-20,3002
2020-09-21,3044
2020-09-22,3081
2020-09-23,3112
2020-09-24,3140
2020-09-25,3151
2020-09-26,3156
2020-09-27,3181
2020-09-28,3218
2020-09-29,3238
2020-09-30,3257
2020-10-01,3262
2020-10-02,3287
2020-10-03,3302
2020-10-04,3321
2020-10-05,3342
2020-10-06,3375
2020-10-07,3381
2020-10-08,3394
2020-10-09,3411
2020-10-10,3430
2020-10-11,3450
2020-10-12,3482
2020-10-13,3499
2020-10-14,3504
2020-10-15,3537
2020-10-16,3557
2020-10-17,3584
2020-10-18,3608
2020-10-19,3648
2020-10-20,3705
2020-10-21,3741
2020-10-22,3753
2020-10-23,3785
2020-10-24,3825
2020-10-25,3849
2020-10-26,3886
2020-10-27,3919
2020-10-28,3926
2020-10-29,3945
2020-10-30,3964
2020-10-31,4018
2020-11-01,4040
2020-11-02,4061
2020-11-03,4097
2020-11-04,4106
2020-11-05,4115
2020-11-06,4153
2020-11-07,4169
2020-11-08,4198
2020-11-09,4248
2020-11-10,4279
2020-11-11,4288
2020-11-12,4306
2020-11-13,4358
2020-11-14,4391
2020-11-15,4413
2020-11-16,4435
2020-11-17,4459
2020-11-18,4482
2020-11-19,4507
2020-11-20,4534
2020-11-21,4565
2020-11-22,4580
2020-11-23,4628
2020-11-24,4657
2020-11-25,4672
2020-11-26,4719
2020-11-27,4739
2020-11-28,4753
2020-11-29,4760
2020-11-30,4799
2020-12-01,4823
2020-12-02,4835
2020-12-03,4872
2020-12-04,4891
2020-12-05,4920
2020-12-06,4961
2020-12-07,4999
2020-12-08,5017
2020-12-09,5040
2020-12-10,5099
2020-12-11,5148
2020-12-12,5194
2020-12-13,5211
2020-12-14,5263
2020-12-15,5299
2020-12-16,5342
2020-12-17,5357
2020-12-18,5384
2020-12-19,5405
2020-12-20,5417
2020-12-21,5437
2020-12-22,5450
2020-12-23,5475
2020-12-24,5483
2020-12-25,5486
2020-12-26,5491
2020-12-27,5495
2020-12-28,5515
2020-12-29,5533
2020-12-30,5535
2021-01-02,5539
2021-01-03,5541
2021-01-04,5545
