date,cases
2020-03-17,1
2020-03-18,2
2020-03-19,3
2020-03-25,4
2020-03-29,5
2020-04-02,8
2020-04-05,9
2020-05-05,10
2020-05-16,11
2020-05-18,12
2020-05-20,13
2020-05-21,15
2020-05-22,16
2020-05-26,17
2020-05-27,18
2020-05-29,19
2020-06-01,21
2020-06-02,22
2020-06-03,23
2020-06-06,25
2020-06-07,26
2020-06-08,27
2020-06-10,29
2020-06-11,31
2020-06-12,32
2020-06-13,34
2020-06-14,35
2020-06-15,39
2020-06-16,43
2020-06-17,46
2020-06-18,47
2020-06-19,48
2020-06-20,49
2020-06-21,51
2020-06-22,55
2020-06-23,56
2020-06-24,60
2020-06-25,65
2020-06-26,68
2020-06-27,69
2020-06-28,72
2020-06-29,75
2020-06-30,78
2020-07-01,87
2020-07-02,104
2020-07-03,109
2020-07-04,124
2020-07-05,132
2020-07-06,149
2020-07-07,170
2020-07-08,184
2020-07-09,198
2020-07-10,221
2020-07-11,236
2020-07-12,243
2020-07-13,284
2020-07-14,308
2020-07-15,335
2020-07-16,372
2020-07-17,417
2020-07-18,440
2020-07-19,453
2020-07-20,470
2020-07-21,514
2020-07-22,548
2020-07-23,584
2020-07-24,604
2020-07-25,625
2020-07-26,653
2020-07-27,699
2020-07-28,725
2020-07-29,739
2020-07-30,755
2020-07-31,775
2020-08-01,788
2020-08-02,809
2020-08-03,826
2020-08-04,849
2020-08-05,865
2020-08-06,882
2020-08-07,896
2020-08-08,931
2020-08-09,950
2020-08-10,978
2020-08-11,1002
2020-08-12,1034
2020-08-13,1053
2020-08-14,1068
2020-08-15,1079
2020-08-16,1088
2020-08-17,1105
2020-08-18,1132
2020-08-19,1164
2020-08-20,1200
2020-08-21,1218
2020-08-22,1240
2020-08-23,1248
2020-08-24,1277
2020-08-25,1298
2020-08-26,1316
2020-08-27,1332
2020-08-28,1360
2020-08-29,1372
2020-08-30,1391
2020-08-31,1413
2020-09-01,1441
2020-09-02,1467
2020-09-03,1484
2020-09-04,1502
2020-09-05,1520
2020-09-06,1538
2020-09-07,1562
2020-09-08,1582
2020-09-09,1610
2020-09-10,1638
2020-09-11,1661
2020-09-12,1690
2020-09-13,1703
2020-09-14,1732
2020-09-15,1750
2020-09-16,1757
2020-09-17,1769
2020-09-18,1784
2020-09-19,1806
2020-09-20,1820
2020-09-21,1846
2020-09-22,1870
2020-09-23,1896
2020-09-24,1924
2020-09-25,1953
2020-09-26,1987
2020-09-27,2006
2020-09-28,2053
2020-09-29,2077
2020-09-30,2109
2020-10-01,2128
2020-10-02,2160
2020-10-03,2167
2020-10-04,2192
2020-10-05,2255
2020-10-06,2295
2020-10-07,2341
2020-10-08,2414
2020-10-09,2466
2020-10-10,2506
2020-10-11,2539
2020-10-12,2559
2020-10-13,2578
2020-10-14,2609
2020-10-15,2655
2020-10-16,2688
2020-10-17,2711
2020-10-18,2736
2020-10-19,2799
2020-10-20,2841
2020-10-21,2899
2020-10-22,2938
2020-10-23,2988
2020-10-24,3022
2020-10-25,3046
2020-10-26,3096
2020-10-27,3142
2020-10-28,3170
2020-10-29,3209
2020-10-30,3247
2020-10-31,3283
2020-11-01,3316
2020-11-02,3328
2020-11-03,3356
2020-11-04,3385
2020-11-05,3411
2020-11-06,3436
2020-11-07,3470
2020-11-08,3490
2020-11-09,3523
2020-11-10,3557
2020-11-11,3586
2020-11-12,3614
2020-11-13,3645
2020-11-14,3659
2020-11-15,3681
2020-11-16,3692
2020-11-17,3720
2020-11-18,3744
2020-11-19,3772
2020-11-20,3793
2020-11-21,3822
2020-11-22,3834
2020-11-23,3865
2020-11-24,3890
2020-11-25,3923
2020-11-26,3939
2020-11-27,3959
2020-11-28,3984
2020-11-29,3998
2020-11-30,4018
2020-12-01,4047
2020-12-02,4067
2020-12-03,4094
2020-12-04,4134
2020-12-05,4162
2020-12-06,4176
2020-12-07,4208
2020-12-08,4227
2020-12-09,4266
2020-12-10,4303
2020-12-11,4345
2020-12-12,4379
2020-12-13,4390
2020-12-14,4441
2020-12-15,4486
2020-12-16,4528
2020-12-17,4588
2020-12-18,4623
2020-12-19,4663
2020-12-20,4697
2020-12-21,4742
2020-12-22,4796
2020-12-23,4842
2020-12-24,4876
2020-12-25,4882
2020-12-26,4928
2020-12-27,4956
2020-12-28,5030
2020-12-29,5098
2020-12-30,5148
2020-12-31,5194
2021-01-01,5213
2021-01-02,5264
2021-01-03,5283
2021-01-04,5303
