date,cases
2020-03-26,1
2020-05-09,2
2020-05-11,4
2020-05-12,7
2020-05-13,14
2020-05-14,15
2020-05-15,19
2020-05-17,20
2020-05-18,21
2020-05-19,23
2020-05-21,24
2020-05-23,28
2020-05-25,29
2020-05-30,31
2020-06-02,32
2020-06-03,35
2020-06-04,37
2020-06-05,39
2020-06-06,40
2020-06-07,41
2020-06-08,42
2020-06-09,44
2020-06-11,45
2020-06-17,46
2020-06-18,48
2020-06-19,49
2020-06-21,50
2020-06-22,51
2020-06-23,52
2020-06-24,55
2020-06-25,57
2020-06-26,59
2020-06-27,61
2020-06-28,66
2020-07-01,70
2020-07-02,72
2020-07-03,73
2020-07-04,75
2020-07-05,78
2020-07-06,82
2020-07-07,89
2020-07-08,99
2020-07-09,106
2020-07-10,113
2020-07-11,117
2020-07-12,120
2020-07-13,129
2020-07-14,132
2020-07-15,138
2020-07-16,160
2020-07-17,168
2020-07-18,176
2020-07-19,177
2020-07-20,179
2020-07-21,189
2020-07-22,200
2020-07-23,204
2020-07-24,209
2020-07-25,220
2020-07-26,221
2020-07-27,244
2020-07-28,249
2020-07-29,261
2020-07-30,323
2020-07-31,343
2020-08-01,364
2020-08-02,367
2020-08-03,379
2020-08-04,409
2020-08-05,434
2020-08-06,454
2020-08-07,461
2020-08-08,468
2020-08-09,469
2020-08-10,480
2020-08-11,499
2020-08-12,516
2020-08-13,526
2020-08-14,580
2020-08-15,585
2020-08-16,600
2020-08-17,608
2020-08-18,624
2020-08-19,637
2020-08-20,648
2020-08-21,659
2020-08-22,676
2020-08-23,679
2020-08-24,690
2020-08-25,693
2020-08-26,696
2020-08-27,707
2020-08-28,711
2020-08-29,718
2020-08-30,726
2020-08-31,733
2020-09-01,735
2020-09-02,743
2020-09-03,751
2020-09-04,767
2020-09-05,774
2020-09-06,776
2020-09-07,800
2020-09-08,804
2020-09-09,810
2020-09-10,840
2020-09-11,843
2020-09-12,846
2020-09-13,852
2020-09-14,857
2020-09-15,862
2020-09-16,865
2020-09-17,882
2020-09-18,886
2020-09-19,887
2020-09-20,888
2020-09-21,900
2020-09-22,910
2020-09-23,912
2020-09-24,916
2020-09-25,917
2020-09-26,918
2020-09-27,920
2020-09-28,925
2020-09-29,929
2020-09-30,930
2020-10-01,931
2020-10-02,938
2020-10-03,941
2020-10-04,942
2020-10-05,948
2020-10-06,951
2020-10-07,953
2020-10-08,964
2020-10-10,965
2020-10-11,966
2020-10-12,969
2020-10-13,972
2020-10-14,976
2020-10-15,979
2020-10-16,982
2020-10-17,987
2020-10-18,988
2020-10-19,990
2020-10-20,994
2020-10-21,1003
2020-10-22,1005
2020-10-23,1015
2020-10-24,1016
2020-10-27,1017
2020-10-28,1019
