date,cases
2020-07-15,1
2020-07-21,3
2020-07-24,7
2020-07-25,8
2020-08-04,9
2020-08-11,20
2020-08-12,22
2020-08-13,23
2020-08-19,27
2020-08-21,31
2020-08-27,33
2020-08-28,35
2020-08-29,42
2020-09-07,70
2020-09-08,71
2020-09-11,72
2020-09-12,73
2020-09-13,74
2020-09-14,75
2020-09-16,77
2020-09-19,78
2020-09-20,82
2020-09-21,83
2020-09-22,86
2020-09-26,87
2020-10-05,88
2020-10-07,89
2020-10-12,90
2020-10-20,91
2020-10-21,96
2020-10-22,97
2020-10-26,99
2020-10-27,101
2020-11-06,105
2020-11-09,106
2020-11-10,108
2020-11-11,109
2020-11-12,110
2020-11-13,112
2020-11-14,113
2020-11-15,116
2020-11-16,117
2020-11-17,122
2020-11-18,123
2020-11-19,129
2020-11-20,148
2020-11-21,152
2020-11-23,153
2020-11-24,160
2020-11-26,163
2020-11-27,165
2020-11-28,166
2020-11-30,167
2020-12-01,171
