date,cases
2020-06-04,319
2020-06-12,27
2020-06-13,36
2020-06-14,46
2020-06-16,89
2020-06-18,98
2020-06-19,126
2020-06-23,167
2020-06-24,184
2020-06-25,195
2020-06-26,205
2020-06-27,215
2020-06-28,225
2020-06-29,229
2020-06-30,268
2020-07-01,1
2020-07-02,139
2020-07-03,255
2020-07-04,320
2020-07-05,336
2020-07-06,345
2020-07-07,359
2020-07-08,374
2020-07-10,12
2020-07-11,21
2020-07-12,30
2020-07-13,40
2020-07-14,57
2020-07-15,81
2020-07-16,90
2020-07-17,96
2020-07-18,100
2020-07-19,127
2020-07-20,141
2020-07-21,145
2020-07-22,155
2020-07-23,168
2020-07-24,189
2020-07-25,202
2020-07-26,209
2020-07-27,222
2020-07-28,227
2020-07-29,244
2020-07-30,282
2020-07-31,314
2020-08-01,7
2020-08-03,258
2020-08-04,324
2020-08-05,337
2020-08-06,351
2020-08-07,370
2020-08-08,375
2020-08-09,381
2020-08-10,15
2020-08-11,22
2020-08-12,34
2020-08-13,41
2020-08-14,60
2020-08-15,86
2020-08-16,93
2020-08-18,101
2020-08-19,128
2020-08-20,142
2020-08-22,159
2020-08-23,169
2020-08-24,191
2020-08-27,224
2020-08-28,228
2020-08-29,246
2020-08-30,284
2020-08-31,318
2020-09-05,339
2020-09-07,371
2020-09-09,384
2020-09-10,18
2020-09-11,26
2020-09-18,102
2020-09-19,129
2020-09-22,160
2020-09-23,174
2020-09-30,289
2020-10-02,134
2020-10-03,252
2020-10-05,325
2020-10-07,354
2020-10-09,380
2020-10-10,8
2020-10-13,35
2020-10-14,43
2020-10-15,66
2020-10-16,87
2020-10-17,95
2020-10-19,103
2020-10-20,140
2020-10-22,147
2020-10-23,162
2020-10-24,177
