date,cases
2020-03-31,1
2020-04-15,2
2020-04-24,4
2020-05-30,5
2020-06-03,6
2020-06-05,11
2020-06-19,12
2020-06-30,13
2020-07-11,14
2020-07-17,15
2020-07-21,16
2020-07-24,19
2020-07-27,20
2020-07-29,21
2020-07-30,23
2020-07-31,24
2020-08-01,27
2020-08-03,28
2020-08-04,29
2020-08-06,30
2020-08-07,31
2020-08-09,33
2020-08-10,35
2020-08-11,36
2020-08-14,41
2020-08-15,47
2020-08-16,48
2020-08-17,52
2020-08-19,55
2020-08-20,57
2020-08-21,60
2020-08-24,64
2020-08-25,66
2020-08-27,67
2020-08-29,69
2020-08-30,71
2020-09-01,74
2020-09-02,81
2020-09-03,85
2020-09-04,88
2020-09-07,92
2020-09-08,94
2020-09-09,95
2020-09-11,99
2020-09-12,103
2020-09-13,111
2020-09-14,114
2020-09-15,118
2020-09-16,121
2020-09-17,123
2020-09-18,124
2020-09-19,127
2020-09-21,128
2020-09-22,131
2020-09-23,134
2020-09-26,136
2020-09-28,137
2020-09-29,145
2020-09-30,149
2020-10-01,152
2020-10-02,153
2020-10-03,154
2020-10-05,155
2020-10-06,157
2020-10-08,160
2020-10-13,161
2020-10-14,166
2020-10-15,168
2020-10-19,173
2020-10-20,176
2020-10-21,177
2020-10-22,179
2020-10-23,180
