date,cases
2020-06-12,11
2020-06-17,30
2020-06-21,69
2020-06-26,109
2020-07-04,147
2020-07-05,156
2020-07-10,7
2020-07-12,17
2020-07-13,19
2020-07-14,20
2020-07-18,36
2020-07-20,67
2020-07-22,70
2020-07-23,81
2020-07-24,90
2020-07-25,101
2020-07-27,122
2020-07-30,143
2020-08-03,141
2020-08-04,150
2020-08-05,157
2020-08-09,164
2020-08-11,10
2020-08-15,28
2020-08-17,33
2020-08-18,50
2020-08-19,63
2020-08-20,68
2020-08-22,72
2020-08-24,92
2020-08-25,107
2020-08-27,123
2020-08-28,125
2020-09-01,6
2020-09-04,151
2020-09-07,159
2020-09-08,163
2020-09-09,166
2020-09-16,29
2020-09-17,35
2020-09-23,84
2020-09-24,97
2020-09-25,108
2020-09-28,127
2020-09-29,136
2020-10-01,2
2020-10-03,139
2020-10-04,144
2020-10-05,152
2020-10-06,158
2020-10-08,160
2020-10-24,85
2020-10-27,110
