date,cases
2020-05-31,3
2020-06-01,5
2020-06-03,6
2020-06-04,8
2020-06-07,9
2020-06-10,10
2020-06-11,11
2020-06-12,12
2020-06-16,13
2020-06-18,15
2020-06-19,19
2020-06-21,20
2020-06-22,21
2020-06-23,22
2020-06-26,23
2020-06-27,25
2020-06-28,30
2020-06-29,32
2020-06-30,34
2020-07-01,35
2020-07-04,38
2020-07-06,39
2020-07-07,43
2020-07-08,47
2020-07-09,48
2020-07-10,50
2020-07-11,51
2020-07-13,55
2020-07-14,57
2020-07-15,67
2020-07-16,75
2020-07-18,78
2020-07-19,84
2020-07-20,90
2020-07-22,91
2020-07-23,101
2020-07-24,103
2020-07-25,109
2020-07-26,110
2020-07-27,113
2020-07-28,125
2020-07-29,133
2020-07-30,141
2020-07-31,151
2020-08-02,154
2020-08-03,157
2020-08-04,168
2020-08-05,174
2020-08-06,179
2020-08-08,189
2020-08-09,190
2020-08-10,196
2020-08-11,205
2020-08-12,207
2020-08-13,213
2020-08-14,217
2020-08-15,225
2020-08-16,233
2020-08-17,235
2020-08-18,246
2020-08-19,249
2020-08-20,251
2020-08-21,252
2020-08-22,257
2020-08-23,258
2020-08-24,265
2020-08-25,272
2020-08-26,275
2020-08-27,281
2020-08-28,284
2020-08-29,288
2020-08-30,289
2020-08-31,295
2020-09-01,305
2020-09-02,313
2020-09-03,315
2020-09-04,320
2020-09-05,321
2020-09-06,322
2020-09-07,324
2020-09-09,331
2020-09-10,343
2020-09-11,346
2020-09-13,347
2020-09-14,349
2020-09-15,350
2020-09-16,353
2020-09-19,357
2020-09-22,358
2020-09-24,359
2020-09-27,361
2020-09-29,363
2020-09-30,366
2020-10-01,367
2020-10-02,368
2020-10-05,369
2020-10-06,370
2020-10-07,371
2020-10-08,373
2020-10-09,374
2020-10-10,375
2020-10-11,379
2020-10-13,381
2020-10-17,382
2020-10-20,383
2020-10-21,385
2020-10-22,392
2020-10-25,413
2020-10-29,418
2020-11-01,419
2020-11-03,422
2020-11-04,424
2020-11-05,425
2020-11-06,426
2020-11-15,427
2020-11-23,428
2020-11-24,429
2020-11-28,430
2020-11-30,432
2020-12-03,433
2020-12-04,434
