date,cases
2020-05-25,1
2020-05-31,2
2020-07-02,3
2020-07-04,5
2020-07-05,6
2020-07-08,7
2020-07-09,12
2020-07-11,13
2020-07-13,15
2020-07-15,41
2020-07-16,65
2020-07-17,66
2020-07-18,68
2020-07-19,69
2020-07-23,81
2020-07-24,82
2020-07-26,84
2020-07-27,88
2020-07-30,93
2020-07-31,101
2020-08-01,104
2020-08-02,109
2020-08-06,110
2020-08-07,111
2020-08-08,112
2020-08-10,113
2020-08-19,114
2020-08-20,115
2020-08-21,116
2020-08-26,117
2020-09-02,118
2020-09-08,120
2020-09-16,121
2020-09-20,128
2020-10-02,129
2020-10-06,131
