date,cases
2020-05-18,1
2020-05-24,11
2020-05-27,13
2020-05-28,14
2020-05-30,20
2020-05-31,34
2020-06-01,41
2020-06-02,46
2020-06-03,56
2020-06-04,57
2020-06-06,58
2020-06-10,61
2020-06-19,62
2020-06-24,63
2020-06-25,64
2020-07-03,65
2020-07-05,66
2020-07-07,67
2020-07-08,73
2020-07-09,75
2020-07-12,76
2020-07-14,86
2020-07-15,87
2020-07-17,90
2020-07-21,91
2020-07-27,92
2020-07-28,93
2020-07-29,95
2020-07-30,96
2020-08-02,101
2020-08-04,104
2020-08-05,106
2020-08-06,107
2020-08-07,108
2020-08-08,111
2020-08-10,116
2020-08-11,119
2020-08-13,122
2020-08-14,124
2020-08-16,125
2020-08-17,126
2020-08-18,128
2020-08-19,130
2020-08-20,132
2020-08-21,140
2020-08-24,143
2020-08-25,150
2020-08-26,151
2020-08-27,153
2020-08-28,154
2020-08-29,156
2020-08-31,159
2020-09-02,161
2020-09-04,163
2020-09-05,164
2020-09-07,165
2020-09-09,167
2020-09-13,168
2020-09-14,169
2020-09-23,170
2020-09-26,171
2020-09-27,172
2020-09-30,174
2020-10-01,176
2020-10-02,180
2020-10-04,181
2020-10-05,183
2020-10-06,193
2020-10-07,203
2020-10-08,219
2020-10-09,223
2020-10-10,238
2020-10-11,254
2020-10-12,256
2020-10-13,257
2020-10-14,267
2020-10-15,301
2020-10-16,320
2020-10-17,337
2020-10-18,374
2020-10-19,378
2020-10-20,384
2020-10-21,386
2020-10-23,391
2020-10-24,398
2020-10-26,402
2020-10-27,409
2020-10-28,413
2020-10-29,417
2020-10-30,420
2020-10-31,426
2020-11-01,428
2020-11-02,429
2020-11-04,431
2020-11-07,432
2020-11-08,433
2020-11-09,435
2020-11-10,436
2020-11-12,439
2020-11-13,443
2020-11-14,444
2020-11-17,446
2020-11-18,447
2020-11-19,448
2020-11-20,450
2020-11-21,451
2020-11-22,452
2020-11-23,453
2020-11-25,454
2020-11-26,458
2020-11-27,470
2020-11-28,471
2020-11-29,472
2020-11-30,473
2020-12-01,474
2020-12-04,475
2020-12-05,476
2020-12-08,477
2020-12-10,478
2020-12-11,479
2020-12-12,481
2020-12-13,482
2020-12-14,484
2020-12-16,485
2020-12-18,487
2020-12-19,488
2020-12-20,489
2020-12-22,490
2020-12-23,493
2020-12-24,494
2020-12-28,495
2020-12-29,497
2021-01-02,499
2021-01-04,503
