date,cases
2020-03-21,1
2020-04-02,2
2020-04-16,3
2020-05-29,4
2020-06-09,5
2020-06-10,8
2020-06-16,9
2020-06-18,10
2020-06-27,11
2020-06-28,13
2020-06-29,14
2020-06-30,15
2020-07-01,16
2020-07-03,17
2020-07-04,18
2020-07-06,19
2020-07-07,20
2020-07-08,28
2020-07-09,35
2020-07-11,37
2020-07-13,42
2020-07-15,46
2020-07-17,48
2020-07-18,50
2020-07-19,52
2020-07-20,55
2020-07-22,60
2020-07-23,61
2020-07-24,72
2020-07-27,101
2020-07-28,113
2020-07-29,123
2020-07-30,124
2020-07-31,129
2020-08-02,131
2020-08-03,134
2020-08-04,138
2020-08-05,142
2020-08-06,146
2020-08-07,149
2020-08-08,150
2020-08-09,151
2020-08-10,153
2020-08-11,154
2020-08-12,169
2020-08-13,176
2020-08-14,186
2020-08-15,189
2020-08-16,190
2020-08-17,191
2020-08-18,199
2020-08-19,200
2020-08-21,207
2020-08-22,212
2020-08-23,213
2020-08-24,218
2020-08-25,226
2020-08-26,227
2020-08-27,228
2020-08-28,234
2020-08-29,236
2020-08-30,238
2020-08-31,242
2020-09-01,247
2020-09-02,250
2020-09-04,253
2020-09-05,257
2020-09-06,258
2020-09-07,262
2020-09-08,274
2020-09-09,278
2020-09-10,282
2020-09-11,288
2020-09-12,289
2020-09-13,291
2020-09-14,295
2020-09-16,296
2020-09-17,300
2020-09-18,303
2020-09-19,304
2020-09-21,306
2020-09-22,310
2020-09-23,314
2020-09-24,315
2020-09-25,317
2020-09-26,324
2020-09-27,329
2020-09-28,332
2020-09-29,339
2020-09-30,341
2020-10-01,345
2020-10-02,350
2020-10-03,353
2020-10-04,358
2020-10-05,360
2020-10-06,363
2020-10-07,374
2020-10-08,378
2020-10-09,382
2020-10-10,385
2020-10-11,386
2020-10-12,388
2020-10-13,391
2020-10-14,399
2020-10-15,406
2020-10-16,417
2020-10-18,418
2020-10-19,433
2020-10-20,447
2020-10-21,455
2020-10-22,457
2020-10-23,468
2020-10-24,469
2020-10-25,485
2020-10-26,497
2020-10-27,503
2020-10-28,517
2020-10-29,520
2020-10-30,524
2020-10-31,526
2020-11-01,529
2020-11-02,531
2020-11-03,535
2020-11-04,538
2020-11-05,540
2020-11-06,544
2020-11-10,548
2020-11-11,549
2020-11-12,551
2020-11-13,557
2020-11-16,559
2020-11-17,567
2020-11-18,571
2020-11-19,574
2020-11-20,579
2020-11-21,580
2020-11-23,584
2020-11-25,586
2020-11-26,590
2020-11-27,593
2020-11-28,595
2020-11-29,596
2020-11-30,598
2020-12-01,602
2020-12-02,603
2020-12-03,606
