date,cases
2020-07-08,1
2020-07-10,2
2020-07-13,5
2020-08-01,6
2020-09-17,8
2020-10-06,9
2020-10-08,10
2020-10-14,11
2020-10-17,14
2020-10-20,20
2020-10-21,22
2020-10-24,23
2020-10-26,24
2020-10-28,25
2020-10-30,29
2020-11-01,30
2020-11-03,33
2020-11-07,37
2020-11-09,38
2020-11-12,39
2020-11-13,40
2020-11-15,41
2020-11-20,42
2020-11-30,44
2020-12-03,47
2020-12-05,48
2020-12-06,49
2020-12-07,50
2020-12-08,51
2020-12-09,57
2020-12-14,59
2020-12-15,62
2020-12-17,63
2020-12-21,65
2020-12-22,66
2020-12-26,68
2020-12-28,71
2020-12-30,73
2020-12-31,74
2021-01-04,75
