date,cases
2020-06-23,1
2020-06-30,2
2020-07-05,4
2020-07-25,7
2020-07-27,8
2020-07-28,10
2020-08-02,18
2020-08-07,19
2020-08-08,20
2020-08-09,22
2020-08-11,23
2020-08-13,26
2020-08-14,28
2020-08-16,29
2020-08-17,30
2020-08-18,31
2020-08-19,37
2020-08-20,38
2020-08-21,39
2020-08-22,40
2020-08-27,41
2020-08-28,43
2020-08-29,51
2020-08-30,56
2020-08-31,58
2020-09-03,60
2020-09-04,63
2020-09-08,64
2020-09-10,68
2020-09-11,69
2020-09-12,70
2020-09-16,71
2020-09-17,72
2020-09-19,74
2020-09-22,77
2020-09-23,78
2020-09-27,79
2020-09-28,88
2020-09-29,91
2020-10-03,92
2020-10-04,93
2020-10-06,96
2020-10-07,98
2020-10-08,100
2020-10-12,101
2020-10-15,102
2020-10-21,105
2020-10-22,106
2020-10-23,107
2020-10-26,109
2020-10-28,113
2020-11-04,116
2020-11-13,117
2020-11-29,118
2020-11-30,119
