date,cases
2020-05-08,1
2020-07-05,47
2020-07-06,50
2020-07-07,51
2020-07-08,52
2020-07-13,54
2020-07-14,58
2020-07-15,61
2020-07-16,63
2020-07-18,71
2020-07-20,72
2020-07-21,74
2020-07-22,76
2020-07-23,79
2020-07-24,82
2020-07-27,103
2020-07-28,108
2020-07-29,151
2020-07-30,168
2020-07-31,185
2020-08-01,218
2020-08-02,224
2020-08-03,267
2020-08-04,287
2020-08-05,322
2020-08-06,334
2020-08-07,339
2020-08-08,353
2020-08-09,361
2020-08-10,386
2020-08-11,402
2020-08-12,408
2020-08-13,422
2020-08-14,435
2020-08-15,456
2020-08-16,465
2020-08-17,469
2020-08-18,484
2020-08-19,488
2020-08-20,490
2020-08-21,494
2020-08-22,500
2020-08-23,504
2020-08-24,510
2020-08-25,516
2020-08-26,519
2020-08-27,529
2020-08-28,538
2020-08-29,543
2020-08-30,544
2020-08-31,551
2020-09-01,554
2020-09-02,557
2020-09-03,564
2020-09-04,569
2020-09-05,570
2020-09-06,571
2020-09-07,583
2020-09-08,586
2020-09-09,591
2020-09-10,601
2020-09-11,602
2020-09-12,604
2020-09-13,605
2020-09-14,611
2020-09-15,615
2020-09-16,618
2020-09-17,629
2020-09-18,634
2020-09-20,635
2020-09-21,652
2020-09-22,659
2020-09-23,667
2020-09-24,670
2020-09-25,675
2020-09-26,676
2020-09-27,681
2020-09-28,687
2020-09-29,693
2020-09-30,697
2020-10-01,699
2020-10-02,700
2020-10-03,702
2020-10-04,707
2020-10-05,714
2020-10-06,722
2020-10-07,726
2020-10-08,729
2020-10-09,735
2020-10-10,739
2020-10-12,744
2020-10-13,752
2020-10-14,762
2020-10-15,773
2020-10-16,775
2020-10-17,778
2020-10-18,787
2020-10-19,801
2020-10-20,812
2020-10-21,814
2020-10-22,822
2020-10-24,824
2020-10-27,826
2020-10-29,829
2020-10-31,830
