date,cases
2020-06-30,1
2020-07-07,2
2020-07-09,3
2020-07-10,4
2020-07-13,5
2020-07-17,6
2020-07-21,8
2020-07-24,9
2020-07-25,10
2020-07-26,11
2020-07-29,13
2020-07-30,14
2020-07-31,15
2020-08-05,16
2020-08-06,17
2020-08-07,19
2020-08-08,20
2020-08-09,30
2020-08-10,31
2020-08-12,32
2020-08-15,34
2020-08-17,35
2020-08-26,37
2020-08-31,38
2020-09-02,39
2020-09-04,40
2020-09-09,41
2020-09-12,42
2020-09-13,43
2020-09-14,44
2020-09-16,46
2020-09-19,48
2020-09-22,49
2020-09-23,52
2020-09-27,54
2020-09-28,56
2020-09-29,57
2020-10-01,58
2020-10-02,59
2020-10-05,60
2020-10-07,61
2020-10-08,62
2020-10-09,64
2020-10-11,66
2020-10-14,67
2020-10-15,68
2020-10-19,69
2020-10-21,70
2020-10-22,71
2020-10-28,72
2020-10-29,74
2020-10-30,75
2020-10-31,78
2020-11-02,79
2020-11-03,81
2020-11-04,82
2020-11-05,83
2020-11-07,84
2020-11-08,85
2020-11-10,87
2020-11-11,90
2020-11-12,91
2020-11-13,92
2020-11-15,95
2020-11-16,96
2020-11-19,99
2020-11-21,103
2020-11-23,107
2020-11-24,108
2020-11-25,109
2020-11-27,113
2020-11-28,118
2020-11-29,119
2020-11-30,123
2020-12-01,128
2020-12-02,133
2020-12-03,135
2020-12-04,136
2020-12-05,139
2020-12-07,143
2020-12-08,144
2020-12-09,162
2020-12-10,166
2020-12-11,179
2020-12-12,182
2020-12-13,183
2020-12-14,190
2020-12-15,198
2020-12-16,202
2020-12-17,210
2020-12-18,217
2020-12-19,222
2020-12-20,223
2020-12-21,229
