date,cases
2020-06-11,20
2020-06-18,74
2020-06-24,105
2020-07-04,145
2020-07-05,153
2020-07-06,165
2020-07-14,44
2020-07-19,84
2020-07-23,103
2020-07-29,127
2020-07-30,133
2020-07-31,138
2020-08-01,14
2020-08-06,170
2020-08-07,174
2020-08-08,178
2020-08-09,190
2020-08-12,24
2020-08-13,40
2020-08-15,54
2020-08-16,60
2020-08-17,71
2020-08-20,92
2020-08-21,93
2020-08-22,99
2020-08-24,106
2020-08-25,115
2020-08-26,120
2020-08-27,121
2020-08-28,122
2020-08-29,128
2020-08-31,144
2020-09-01,17
2020-09-02,89
2020-09-03,130
2020-09-04,152
2020-09-05,163
2020-09-06,172
2020-09-08,182
2020-09-09,191
2020-09-11,23
2020-09-12,25
2020-09-14,45
2020-09-16,63
2020-09-17,72
2020-09-22,101
2020-09-24,107
2020-09-25,119
2020-09-28,123
2020-09-29,129
2020-09-30,136
2020-10-01,2
2020-10-02,85
2020-10-06,164
2020-10-08,175
2020-10-09,183
2020-10-11,19
2020-10-14,43
2020-10-15,52
2020-10-17,64
2020-10-18,73
2020-10-19,77
2020-10-22,96
2020-10-24,104
