date,cases
2020-06-25,89
2020-07-03,101
2020-07-06,125
2020-07-07,131
2020-07-08,145
2020-07-09,150
2020-07-10,6
2020-07-12,10
2020-07-13,15
2020-07-14,19
2020-07-15,27
2020-07-16,29
2020-07-17,32
2020-07-18,38
2020-07-20,61
2020-07-21,67
2020-07-22,74
2020-07-23,81
2020-07-26,95
2020-07-28,97
2020-07-30,104
2020-07-31,106
2020-08-01,1
2020-08-02,48
2020-08-03,102
2020-08-04,109
2020-08-05,120
2020-08-06,127
2020-08-07,136
2020-08-09,151
2020-08-10,7
2020-08-12,11
2020-08-13,16
2020-08-19,43
2020-08-21,69
2020-08-22,75
2020-08-23,82
2020-08-24,87
2020-08-25,92
2020-08-29,99
2020-08-31,108
2020-09-03,103
2020-09-04,110
2020-09-05,121
2020-09-07,137
2020-09-08,147
2020-09-09,152
2020-09-10,8
2020-09-14,22
2020-09-16,31
2020-09-18,39
2020-09-19,44
2020-09-21,70
2020-09-22,77
2020-09-23,84
2020-09-24,88
2020-09-25,93
2020-09-26,96
2020-09-28,98
2020-09-30,105
2020-10-02,47
2020-10-03,100
2020-10-05,113
2020-10-06,123
2020-10-07,128
2020-10-08,139
2020-10-09,148
2020-10-10,4
2020-10-12,9
2020-10-14,17
2020-10-15,25
2020-10-18,35
2020-10-19,42
2020-10-20,60
2020-10-21,66
2020-10-23,80
2020-10-24,85
