date,cases
2020-05-08,134
2020-05-09,137
2020-06-05,129
2020-06-06,132
2020-06-08,135
2020-06-10,16
2020-06-14,32
2020-06-19,47
2020-06-20,81
2020-06-22,84
2020-06-23,96
2020-06-24,100
2020-06-25,112
2020-06-27,117
2020-06-29,122
2020-07-01,9
2020-07-02,72
2020-07-04,126
2020-07-05,130
2020-07-08,136
2020-07-10,20
2020-07-16,41
2020-07-18,42
2020-07-21,82
2020-07-23,97
2020-07-24,105
2020-07-25,116
2020-07-27,118
2020-07-28,119
2020-07-31,123
2020-08-01,10
2020-08-02,73
2020-08-04,127
2020-08-06,133
2020-08-09,138
2020-08-10,21
2020-08-13,26
2020-08-28,120
2020-09-18,43
2020-09-21,83
2020-09-22,85
2020-10-12,22
2020-10-20,80
2020-10-23,86
