date,cases
2020-03-18,1
2020-03-21,2
2020-03-22,3
2020-03-25,7
2020-03-26,9
2020-03-27,12
2020-03-28,13
2020-03-29,14
2020-03-30,16
2020-03-31,17
2020-04-02,18
2020-04-03,24
2020-04-04,29
2020-04-05,31
2020-04-06,32
2020-04-07,38
2020-04-08,47
2020-04-09,53
2020-04-11,55
2020-04-12,61
2020-04-13,63
2020-04-14,74
2020-04-15,77
2020-04-16,86
2020-04-17,97
2020-04-18,102
2020-04-19,104
2020-04-20,107
2020-04-21,113
2020-04-22,115
2020-04-23,118
2020-04-24,122
2020-04-25,135
2020-04-26,145
2020-04-27,156
2020-04-28,159
2020-04-29,164
2020-04-30,173
2020-05-02,175
2020-05-03,176
2020-05-04,180
2020-05-05,182
2020-05-06,190
2020-05-07,197
2020-05-08,204
2020-05-09,211
2020-05-10,212
2020-05-11,224
2020-05-12,226
2020-05-13,231
2020-05-14,240
2020-05-15,245
2020-05-16,258
2020-05-18,264
2020-05-19,278
2020-05-20,290
2020-05-21,299
2020-05-22,305
2020-05-23,313
2020-05-24,319
2020-05-25,338
2020-05-26,353
2020-05-27,369
2020-05-28,375
2020-05-29,388
2020-05-30,412
2020-05-31,415
2020-06-01,420
2020-06-02,426
2020-06-03,434
2020-06-04,441
2020-06-05,450
2020-06-06,459
2020-06-07,462
2020-06-08,483
2020-06-09,505
2020-06-10,525
2020-06-11,542
2020-06-12,557
2020-06-13,574
2020-06-14,589
2020-06-15,610
2020-06-16,652
2020-06-17,695
2020-06-18,744
2020-06-19,796
2020-06-20,853
2020-06-21,887
2020-06-22,932
2020-06-23,1044
2020-06-24,1143
2020-06-25,1213
2020-06-26,1322
2020-06-27,1409
2020-06-28,1479
2020-06-29,1582
2020-06-30,1705
2020-07-01,1817
2020-07-02,1974
2020-07-03,2074
2020-07-04,2204
2020-07-05,2289
2020-07-06,2360
2020-07-07,2483
2020-07-08,2573
2020-07-09,2716
2020-07-10,2858
2020-07-11,2965
2020-07-12,3088
2020-07-13,3168
2020-07-14,3299
2020-07-15,3412
2020-07-16,3519
2020-07-17,3699
2020-07-18,3836
2020-07-19,3963
2020-07-20,4026
2020-07-21,4148
2020-07-22,4333
2020-07-23,4488
2020-07-24,4671
2020-07-25,4857
2020-07-26,4967
2020-07-27,5127
2020-07-28,5277
2020-07-29,5435
2020-07-30,5580
2020-07-31,5727
2020-08-01,5939
2020-08-02,6005
2020-08-03,6203
2020-08-04,6339
2020-08-05,6508
2020-08-06,6675
2020-08-07,6773
2020-08-08,6882
2020-08-09,6914
2020-08-10,7078
2020-08-11,7163
2020-08-12,7244
2020-08-13,7374
2020-08-14,7442
2020-08-15,7524
2020-08-16,7605
2020-08-17,7687
2020-08-18,7769
2020-08-19,7841
2020-08-20,7892
2020-08-21,7973
2020-08-22,8066
2020-08-23,8116
2020-08-24,8199
2020-08-25,8254
2020-08-26,8334
2020-08-27,8409
2020-08-28,8471
2020-08-29,8550
2020-08-30,8586
2020-08-31,8685
2020-09-01,8731
2020-09-02,8795
2020-09-03,8848
2020-09-04,8928
2020-09-05,9004
2020-09-06,9037
2020-09-07,9106
2020-09-08,9164
2020-09-09,9191
2020-09-10,9238
2020-09-11,9294
2020-09-12,9373
2020-09-13,9407
2020-09-14,9457
2020-09-15,9512
2020-09-16,9539
2020-09-17,9583
2020-09-18,9631
2020-09-19,9678
2020-09-20,9691
2020-09-21,9731
2020-09-22,9774
2020-09-23,9806
2020-09-24,9891
2020-09-25,9941
2020-09-26,10033
2020-09-27,10062
2020-09-28,10135
2020-09-29,10165
2020-09-30,10196
2020-10-01,10227
2020-10-02,10270
2020-10-03,10320
2020-10-04,10337
2020-10-05,10383
2020-10-06,10405
2020-10-07,10438
2020-10-08,10505
2020-10-09,10547
2020-10-10,10570
2020-10-11,10597
2020-10-12,10622
2020-10-13,10656
2020-10-14,10671
2020-10-15,10709
2020-10-16,10759
2020-10-17,10822
2020-10-18,10868
2020-10-19,10932
2020-10-20,11019
2020-10-21,11074
2020-10-22,11136
2020-10-23,11196
2020-10-24,11232
2020-10-25,11265
2020-10-26,11336
2020-10-27,11417
2020-10-28,11449
2020-10-29,11498
2020-10-30,11542
2020-10-31,11608
2020-11-01,11743
2020-11-02,11809
2020-11-03,11917
2020-11-04,11944
2020-11-05,11990
2020-11-06,12068
2020-11-07,12162
2020-11-08,12217
2020-11-09,12396
2020-11-10,12517
2020-11-11,12569
2020-11-12,12630
2020-11-13,12693
2020-11-14,12753
2020-11-15,12828
2020-11-16,12874
2020-11-17,12957
2020-11-18,12999
2020-11-19,13094
2020-11-20,13197
2020-11-21,13321
2020-11-22,13375
2020-11-23,13520
2020-11-24,13614
2020-11-25,13688
2020-11-26,13790
2020-11-27,13895
2020-11-28,13988
2020-11-29,14022
2020-11-30,14143
2020-12-01,14259
2020-12-02,14402
2020-12-03,14513
2020-12-04,14621
2020-12-05,14730
2020-12-06,14810
2020-12-07,14934
2020-12-08,15010
2020-12-09,15131
2020-12-10,15270
2020-12-11,15357
2020-12-12,15403
2020-12-13,15415
2020-12-14,15491
2020-12-15,15568
2020-12-16,15629
2020-12-17,15694
2020-12-18,15739
2020-12-19,15754
2020-12-20,15757
2020-12-21,15770
2020-12-22,15782
